node_id,shape_id,x,y,radius
157,13,622,444,1.0
158,13,618,454,6.708203932499369
159,13,615,464,9.0
160,13,610,474,13.341664064126334
161,13,606,484,14.866068747318506
162,13,603,494,16.0
163,13,599,504,17.08800749063506
164,13,595,514,15.811388300841896
165,13,591,524,13.341664064126334
166,13,588,534,13.341664064126334
167,13,586,544,13.601470508735444
168,13,584,554,14.0
169,13,581,564,18.439088914585774
170,13,471,570,14.560219778561036
171,13,578,574,24.041630560342615
172,13,478,580,20.8806130178211
173,13,574,584,31.016124838541646
174,13,488,589,25.059928172283335
175,13,498,592,24.515301344262525
176,13,571,594,37.107950630558946
177,13,508,595,26.0
178,13,518,597,28.0
179,13,564,599,41.14608122288197
180,13,528,600,31.400636936215164
181,13,557,601,39.92492955535426
182,13,538,602,35.17101079013795
