node_id,shape_id,x,y,radius
191,16,206,657,27.0
192,16,216,658,26.0
193,16,197,659,25.0
194,16,189,661,23.0
195,16,226,661,23.53720459187964
196,16,236,663,24.166091947189145
197,16,175,664,20.09975124224178
198,16,169,665,20.0
199,16,162,666,18.027756377319946
200,16,246,666,25.238858928247925
201,16,133,667,16.0312195418814
202,16,143,667,16.492422502470642
203,16,153,667,17.0
204,16,127,668,18.027756377319946
205,16,120,670,21.213203435596427
206,16,256,671,25.298221281347036
207,16,110,676,29.274562336608895
208,16,266,677,26.40075756488817
209,16,276,683,27.294688127912362
210,16,103,686,33.24154027718932
211,16,286,692,30.23243291566195
212,16,100,696,33.37663853655727
213,16,295,702,33.1058907144937
214,16,97,706,35.014282800023196
215,16,302,712,35.73513677041127
216,16,96,716,36.124783736376884
217,16,308,722,38.600518131237564
218,16,95,726,38.63935817272331
219,16,317,727,43.829214001622255
220,16,327,727,37.64306044943742
221,16,337,727,31.906112267087632
222,16,347,727,26.40075756488817
223,16,357,729,20.12461179749811
224,16,367,730,16.1245154965971
225,16,377,731,15.0
226,16,387,732,16.1245154965971
227,16,397,735,16.76305461424021
228,16,93,736,41.0
229,16,311,737,37.8549864614954
230,16,407,740,18.027756377319946
231,16,96,746,38.8329756778952
232,16,417,746,19.235384061671343
233,16,311,747,34.88552708502482
234,16,427,755,21.400934559032695
235,16,100,756,36.013886210738214
236,16,311,757,30.463092423455635
237,16,653,758,15.524174696260024
238,16,435,765,23.259406699226016
239,16,103,766,34.713109915419565
240,16,312,767,25.96150997149434
241,16,655,768,22.135943621178654
242,16,442,775,26.476404589747453
243,16,108,776,32.28002478313795
244,16,312,777,23.194827009486403
245,16,657,778,27.730849247724095
246,16,449,785,31.144823004794873
247,16,113,786,30.870698080866262
248,16,312,787,23.0
249,16,658,788,31.400636936215164
250,16,459,791,31.0
251,16,469,793,29.0
252,16,479,794,28.160255680657446
253,16,489,794,30.364452901377952
254,16,499,795,29.274562336608895
255,16,668,795,23.08679276123039
256,16,119,796,30.083217912982647
257,16,312,797,23.0
258,16,649,797,23.769728648009426
259,16,678,798,19.0
260,16,509,799,33.015148038438355
261,16,688,803,14.035668847618199
262,16,639,805,17.26267650163207
263,16,126,806,26.570660511172846
264,16,519,806,34.058772731852805
265,16,698,806,13.892443989449804
266,16,312,807,24.331050121192877
267,16,632,809,14.0
268,16,626,812,11.180339887498949
269,16,529,813,34.20526275297414
270,16,708,813,14.142135623730951
271,16,133,816,24.166091947189145
272,16,615,816,8.94427190999916
273,16,311,817,28.460498941515414
274,16,609,817,7.280109889280518
275,16,602,819,9.0
276,16,539,820,34.66987164671943
277,16,718,820,15.231546211727817
278,16,596,821,11.045361017187261
279,16,586,825,17.72004514666935
280,16,139,826,23.600847442411894
281,16,549,826,34.88552708502482
282,16,305,827,28.0
283,16,728,828,16.97056274847714
284,16,576,829,25.553864678361276
285,16,315,831,25.317977802344327
286,16,563,834,36.359317925395686
287,16,325,835,23.769728648009426
288,16,145,836,24.166091947189145
289,16,735,838,16.1245154965971
290,16,335,839,22.47220505424423
291,16,345,843,21.93171219946131
292,16,373,844,12.36931687685298
293,16,557,844,33.12099032335839
294,16,155,845,26.92582403567252
295,16,363,846,17.88854381999832
296,16,355,847,21.37755832643195
297,16,740,848,16.76305461424021
298,16,165,852,28.231188426986208
299,16,555,854,27.202941017470888
300,16,175,857,28.792360097775937
301,16,746,858,19.6468827043885
302,16,185,860,28.160255680657446
303,16,195,860,26.476404589747453
304,16,205,860,22.47220505424423
305,16,756,860,17.0
306,16,215,861,16.401219466856727
307,16,766,861,10.770329614269007
308,16,553,864,23.08679276123039
309,16,745,868,15.811388300841896
310,16,552,874,22.0
311,16,549,884,20.615528128088304
312,16,539,892,13.0
313,16,533,896,9.433981132056603
