node_id,shape_id,x,y,radius
22,3,950,5,7.280109889280518
23,3,960,14,15.0
24,3,970,24,25.0
25,3,980,32,35.0
26,3,1052,34,49.57822102496216
27,3,1062,34,43.56604182158393
28,3,1072,34,39.0
29,3,1082,34,36.345563690772494
30,3,1092,34,36.0
31,3,1045,36,53.03772242470448
32,3,990,39,45.0
33,3,1035,41,57.42821606144492
34,3,1000,44,55.0
35,3,1102,44,27.85677655436824
36,3,1029,45,60.207972893961475
37,3,1010,49,64.6297145282261
38,3,1023,50,63.06346010171025
39,3,1111,54,24.041630560342615
40,3,1020,60,61.84658438426491
41,3,1114,64,19.79898987322333
42,3,1019,70,59.481089431852205
43,3,1118,74,12.36931687685298
44,3,1017,80,56.43580423808985
45,3,1017,90,51.894122981316485
46,3,1017,100,48.507731342539614
47,3,1015,110,44.40720662234904
48,3,1013,120,39.92492955535426
49,3,1011,130,34.92849839314596
50,3,1009,140,31.064449134018133
51,3,1007,150,29.0
52,3,1004,160,26.1725046566048
53,3,1000,170,24.73863375370596
54,3,994,180,22.360679774997898
55,3,984,190,18.027756377319946
56,3,975,200,15.652475842498529
57,3,968,210,15.556349186104045
58,3,958,220,16.1245154965971
59,3,948,230,19.697715603592208
60,3,940,240,22.360679774997898
61,3,912,246,15.811388300841896
62,3,922,248,21.540659228538015
63,3,933,250,25.298221281347036
64,3,935,260,21.095023109728988
