shape_name,shape_id,node_id,x,y,radius
binary_image,3,1,1019,52,65.79513659838392
binary_image,3,2,933,251,25.0
binary_image,4,3,473,74,36.0
binary_image,6,4,15,209,16.492422502470642
binary_image,13,5,569,598,40.162171256046406
binary_image,16,6,312,727,41.23105625617661
binary_image,16,7,658,791,28.442925306655784
binary_image,16,8,310,827,28.284271247461902
binary_image,16,9,559,835,39.0
binary_image,16,10,747,859,20.248456731316587
