Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
5,"(240,534)",6,"(265,565)",39.82462,C,"(0,515)",240.75091
7,"(269,191)",11,"(338,142)",84.62860,[,"(228,183)",41.77320
8,"(278,397)",9,"(294,304)",94.36631,B,"(0,327)",286.67752
10,"(335,64)",11,"(338,142)",78.05767,null,null,null
12,"(373,782)",14,"(418,781)",45.01111,X,"(201,819)",175.93465
13,"(397,536)",15,"(430,527)",34.20526,f,"(362,527)",36.13862
13,"(397,536)",16,"(437,464)",82.36504,f,"(362,527)",36.13862
15,"(430,527)",16,"(437,464)",63.38770,null,null,null
15,"(430,527)",18,"(512,580)",97.63708,null,null,null
17,"(504,229)",20,"(517,229)",13.00000,null,null,null
17,"(504,229)",21,"(541,278)",61.40033,null,null,null
18,"(512,580)",24,"(557,500)",91.78780,null,null,null
18,"(512,580)",23,"(554,665)",94.81034,null,null,null
19,"(515,426)",24,"(557,500)",85.08819,n,"(479,443)",39.81206
20,"(517,229)",21,"(541,278)",54.56189,null,null,null
24,"(557,500)",25,"(560,500)",3.00000,null,null,null
26,"(644,398)",29,"(681,398)",37.00000,null,null,null
26,"(644,398)",33,"(708,351)",79.40403,null,null,null
28,"(680,157)",31,"(687,157)",7.00000,p,"(543,2)",206.86711
29,"(681,398)",33,"(708,351)",54.20332,null,null,null
29,"(681,398)",34,"(710,456)",64.84597,null,null,null
29,"(681,398)",36,"(738,471)",92.61749,null,null,null
30,"(681,589)",35,"(726,645)",71.84010,null,null,null
30,"(681,589)",32,"(699,516)",75.18643,null,null,null
32,"(699,516)",36,"(738,471)",59.54830,null,null,null
32,"(699,516)",34,"(710,456)",61.00000,null,null,null
34,"(710,456)",36,"(738,471)",31.76476,null,null,null
35,"(726,645)",37,"(763,630)",39.92493,y,"(707,714)",71.56815
37,"(763,630)",41,"(861,646)",99.29753,null,null,null
38,"(793,835)",40,"(854,823)",62.16912,|,"(731,777)",84.89994
40,"(854,823)",45,"(889,838)",38.07887,null,null,null
41,"(861,646)",44,"(881,605)",45.61798,null,null,null
42,"(868,557)",44,"(881,605)",49.72927,,"(853,554)",15.29706
1,"(37,1097)",null,null,null,E,"(1,1004)",99.72462
2,"(64,11)",null,null,null,A,"(0,139)",143.10835
3,"(180,998)",null,null,null,M,"(59,904)",153.22206
4,"(233,56)",null,null,null,W,"(166,113)",87.96590
6,"(265,565)",null,null,null,_,"(252,616)",52.63079
9,"(294,304)",null,null,null,d,"(317,299)",23.53720
14,"(418,781)",null,null,null,l,"(435,739)",45.31004
16,"(437,464)",null,null,null,e,"(350,457)",87.28115
21,"(541,278)",null,null,null,k,"(422,331)",130.26895
22,"(553,888)",null,null,null,o,"(499,846)",68.41053
23,"(554,665)",null,null,null,s,"(611,776)",124.77981
25,"(560,500)",null,null,null,r,"(600,555)",68.00735
27,"(657,1072)",null,null,null,t,"(652,1073)",5.09902
31,"(687,157)",null,null,null,w,"(685,72)",85.02353
36,"(738,471)",null,null,null,~,"(779,471)",41.00000
39,"(796,242)",null,null,null,},"(779,247)",17.72005
43,"(882,204)",null,null,null,,"(851,146)",65.76473
44,"(881,605)",null,null,null,,"(883,604)",2.23607
45,"(889,838)",null,null,null,,"(860,969)",134.17153
