Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(42,829)",2,"(78,869)",53.81450,B,"(20,872)",48.30114
3,"(122,1117)",7,"(194,1084)",79.20227,F,"(109,1124)",14.76482
3,"(122,1117)",6,"(192,1048)",98.29039,F,"(109,1124)",14.76482
4,"(135,951)",5,"(190,951)",55.00000,G,"(111,915)",43.26662
4,"(135,951)",8,"(196,977)",66.30988,G,"(111,915)",43.26662
5,"(190,951)",8,"(196,977)",26.68333,null,null,null
6,"(192,1048)",7,"(194,1084)",36.05551,null,null,null
6,"(192,1048)",8,"(196,977)",71.11259,null,null,null
11,"(573,991)",13,"(616,1066)",86.45230,P,"(469,1019)",107.70330
12,"(597,851)",14,"(630,841)",34.48188,null,null,null
2,"(78,869)",null,null,null,D,"(50,897)",39.59798
7,"(194,1084)",null,null,null,M,"(215,1100)",26.40076
8,"(196,977)",null,null,null,L,"(200,976)",4.12311
9,"(339,241)",null,null,null,A,"(1,84)",372.68351
10,"(522,741)",null,null,null,Q,"(500,738)",22.20360
13,"(616,1066)",null,null,null,T,"(689,1026)",83.24062
14,"(630,841)",null,null,null,U,"(696,863)",69.57011
15,"(833,729)",null,null,null,Y,"(809,807)",81.60882
16,"(873,122)",null,null,null,S,"(630,93)",244.72433
17,"(875,476)",null,null,null,Z,"(812,354)",137.30623
