Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
4,"(266,323)",5,"(364,317)",98.18350,A,"(1,120)",333.81732
10,"(499,623)",12,"(501,653)",30.06659,\,"(444,606)",57.56735
10,"(499,623)",13,"(517,543)",82.00000,\,"(444,606)",57.56735
14,"(566,178)",15,"(584,138)",43.86342,_,"(521,192)",47.12749
25,"(809,896)",28,"(869,832)",87.72685,null,null,null
26,"(813,684)",29,"(878,724)",76.32169,null,null,null
27,"(833,215)",30,"(887,187)",60.82763,|,"(804,162)",60.41523
1,"(20,955)",null,null,null,B,"(1,991)",40.70626
2,"(182,803)",null,null,null,C,"(4,732)",191.63768
3,"(261,928)",null,null,null,N,"(234,1114)",187.94946
5,"(364,317)",null,null,null,X,"(383,287)",35.51056
6,"(371,800)",null,null,null,R,"(308,761)",74.09453
7,"(380,516)",null,null,null,Q,"(280,535)",101.78900
8,"(385,43)",null,null,null,U,"(376,177)",134.30190
11,"(499,1052)",null,null,null,],"(468,1035)",35.35534
12,"(501,653)",null,null,null,c,"(572,708)",89.81091
13,"(517,543)",null,null,null,`,"(547,532)",31.95309
16,"(593,25)",null,null,null,h,"(630,1)",44.10215
17,"(646,367)",null,null,null,g,"(620,293)",78.43469
19,"(686,8)",null,null,null,l,"(673,2)",14.31782
20,"(689,157)",null,null,null,n,"(692,162)",5.83095
21,"(691,788)",null,null,null,m,"(688,789)",3.16228
22,"(716,1093)",null,null,null,k,"(672,1125)",54.40588
23,"(747,345)",null,null,null,u,"(744,345)",3.00000
24,"(750,561)",null,null,null,y,"(758,575)",16.12452
28,"(869,832)",null,null,null,,"(900,862)",43.13931
29,"(878,724)",null,null,null,,"(901,698)",34.71311
30,"(887,187)",null,null,null,,"(892,151)",36.34556
31,"(890,623)",null,null,null,,"(845,637)",47.12749
