Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(19,837)",3,"(87,796)",79.40403,C,"(0,779)",61.03278
3,"(87,796)",6,"(135,795)",48.01042,N,"(23,686)",127.26351
4,"(107,1029)",5,"(127,1008)",29.00000,K,"(6,1108)",128.22636
6,"(135,795)",8,"(187,773)",56.46238,_,"(139,833)",38.20995
7,"(137,894)",9,"(210,880)",74.33034,[,"(128,873)",22.84732
10,"(411,113)",13,"(466,148)",65.19202,T,"(101,9)",326.98012
11,"(446,978)",16,"(479,949)",43.93177,{,"(412,986)",34.92850
11,"(446,978)",12,"(456,1020)",43.17407,{,"(412,986)",34.92850
12,"(456,1020)",15,"(470,1115)",96.02604,,"(503,1028)",47.67599
14,"(469,865)",16,"(479,949)",84.59314,s,"(344,873)",125.25574
16,"(479,949)",17,"(485,949)",6.00000,null,null,null
18,"(580,69)",21,"(610,55)",33.10589,,"(501,0)",104.89042
22,"(610,946)",23,"(684,913)",81.02469,null,null,null
24,"(701,1093)",27,"(746,1034)",74.20243,,"(665,1080)",38.27532
25,"(714,763)",26,"(714,756)",7.00000,null,null,null
25,"(714,763)",30,"(773,767)",59.13544,null,null,null
26,"(714,756)",28,"(757,732)",49.24429,,"(696,722)",38.47077
26,"(714,756)",30,"(773,767)",60.01666,,"(696,722)",38.47077
27,"(746,1034)",32,"(806,1026)",60.53098,,"(715,1005)",42.44997
28,"(757,732)",30,"(773,767)",38.48376,¤,"(768,693)",40.52160
28,"(757,732)",31,"(800,774)",60.10824,¤,"(768,693)",40.52160
28,"(757,732)",35,"(832,750)",77.12976,¤,"(768,693)",40.52160
29,"(769,403)",33,"(813,476)",85.23497,,"(631,444)",143.96180
30,"(773,767)",31,"(800,774)",27.89265,null,null,null
30,"(773,767)",35,"(832,750)",61.40033,null,null,null
31,"(800,774)",35,"(832,750)",40.00000,null,null,null
32,"(806,1026)",37,"(851,1074)",65.79514,null,null,null
32,"(806,1026)",38,"(885,1072)",91.41663,null,null,null
37,"(851,1074)",38,"(885,1072)",34.05877,¥,"(827,1125)",56.36488
2,"(36,413)",null,null,null,A,"(0,262)",155.23208
5,"(127,1008)",null,null,null,\,"(128,993)",15.03330
8,"(187,773)",null,null,null,Z,"(127,612)",171.81676
9,"(210,880)",null,null,null,f,"(208,869)",11.18034
13,"(466,148)",null,null,null,w,"(399,195)",81.84131
15,"(470,1115)",null,null,null,},"(450,1126)",22.82542
17,"(485,949)",null,null,null,,"(506,993)",48.75449
19,"(595,761)",null,null,null,,"(531,787)",69.07966
20,"(606,1052)",null,null,null,,"(630,1062)",26.00000
21,"(610,55)",null,null,null,,"(612,22)",33.06055
23,"(684,913)",null,null,null,,"(694,935)",24.16609
33,"(813,476)",null,null,null, ,"(742,538)",94.26028
34,"(826,273)",null,null,null,£,"(757,280)",69.35416
35,"(832,750)",null,null,null,§,"(848,688)",64.03124
36,"(850,911)",null,null,null,®,"(902,870)",66.21933
38,"(885,1072)",null,null,null,©,"(898,1057)",19.84943
