Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(80,180)",4,"(95,194)",20.51828,K,"(77,180)",3.00000
4,"(95,194)",6,"(151,195)",56.00893,B,"(1,332)",166.97305
4,"(95,194)",7,"(156,229)",70.32780,B,"(1,332)",166.97305
6,"(151,195)",7,"(156,229)",34.36568,W,"(142,120)",75.53807
6,"(151,195)",8,"(202,171)",56.36488,W,"(142,120)",75.53807
7,"(156,229)",8,"(202,171)",74.02702,P,"(93,270)",75.16648
9,"(220,969)",11,"(229,985)",18.35756,A,"(0,832)",259.16983
9,"(220,969)",17,"(268,990)",52.39275,A,"(0,832)",259.16983
9,"(220,969)",12,"(233,1052)",84.01190,A,"(0,832)",259.16983
10,"(227,12)",13,"(239,64)",53.36666,V,"(139,3)",88.45903
10,"(227,12)",14,"(244,66)",56.61272,V,"(139,3)",88.45903
10,"(227,12)",15,"(244,70)",60.44005,V,"(139,3)",88.45903
11,"(229,985)",17,"(268,990)",39.31921,null,null,null
11,"(229,985)",12,"(233,1052)",67.11930,null,null,null
12,"(233,1052)",16,"(266,1039)",35.46830,null,null,null
13,"(239,64)",14,"(244,66)",5.38516,_,"(192,79)",49.33559
13,"(239,64)",15,"(244,70)",7.81025,_,"(192,79)",49.33559
14,"(244,66)",15,"(244,70)",4.00000,j,"(270,41)",36.06938
15,"(244,70)",20,"(308,150)",102.44999,null,null,null
16,"(266,1039)",17,"(268,990)",49.04080,q,"(304,1056)",41.62932
18,"(277,232)",23,"(324,222)",48.05206,k,"(270,210)",23.08679
19,"(302,529)",21,"(311,511)",20.12461,a,"(207,528)",95.00526
20,"(308,150)",23,"(324,222)",73.75636,v,"(343,130)",40.31129
21,"(311,511)",35,"(409,488)",100.66280,p,"(304,469)",42.57934
22,"(314,706)",25,"(338,758)",57.27128,\,"(171,676)",146.11297
24,"(327,292)",29,"(384,293)",57.00877,m,"(276,304)",52.39275
24,"(327,292)",30,"(384,311)",60.08328,m,"(276,304)",52.39275
25,"(338,758)",33,"(406,771)",69.23150,e,"(221,831)",137.90576
27,"(377,981)",34,"(407,986)",30.41381,null,null,null
27,"(377,981)",28,"(379,906)",75.02666,null,null,null
27,"(377,981)",43,"(465,982)",88.00568,null,null,null
29,"(384,293)",30,"(384,311)",18.00000,null,null,null
30,"(384,311)",32,"(404,343)",37.73592,null,null,null
30,"(384,311)",36,"(420,343)",48.16638,null,null,null
31,"(396,637)",37,"(421,666)",38.28838,null,null,null
31,"(396,637)",39,"(437,596)",57.98276,null,null,null
32,"(404,343)",36,"(420,343)",16.00000,|,"(386,379)",40.24922
33,"(406,771)",42,"(464,739)",66.24198,null,null,null
33,"(406,771)",40,"(450,823)",68.11755,null,null,null
34,"(407,986)",43,"(465,982)",58.13777,,"(418,1014)",30.08322
36,"(420,343)",38,"(435,376)",36.24914,null,null,null
36,"(420,343)",48,"(505,297)",96.64885,null,null,null
37,"(421,666)",41,"(454,666)",33.00000,,"(414,691)",25.96151
37,"(421,666)",45,"(469,617)",68.59300,,"(414,691)",25.96151
39,"(437,596)",45,"(469,617)",38.27532,,"(435,582)",14.14214
40,"(450,823)",47,"(490,771)",65.60488,,"(448,840)",17.11724
41,"(454,666)",46,"(478,692)",35.38361,null,null,null
41,"(454,666)",45,"(469,617)",51.24451,null,null,null
42,"(464,739)",47,"(490,771)",41.23106,null,null,null
42,"(464,739)",46,"(478,692)",49.04080,null,null,null
