Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(187,812)",3,"(196,897)",85.47514,B,"(0,735)",202.23254
3,"(196,897)",5,"(259,940)",76.27582,null,null,null
4,"(204,262)",6,"(260,334)",91.21403,A,"(0,126)",245.17749
5,"(259,940)",8,"(346,902)",94.93682,null,null,null
9,"(386,347)",12,"(468,369)",84.89994,null,null,null
9,"(386,347)",10,"(417,436)",94.24436,null,null,null
10,"(417,436)",12,"(468,369)",84.20214,R,"(247,578)",221.50395
11,"(433,778)",14,"(480,684)",105.09519,\,"(430,779)",3.16228
13,"(480,669)",14,"(480,684)",15.00000,^,"(441,638)",49.81967
18,"(650,298)",19,"(656,335)",37.48333,b,"(515,193)",171.02631
20,"(704,175)",23,"(796,174)",92.00543,p,"(703,179)",4.12311
21,"(743,589)",25,"(809,648)",88.52683,null,null,null
23,"(796,174)",26,"(822,198)",35.38361,w,"(812,130)",46.81880
23,"(796,174)",32,"(881,195)",87.55570,w,"(812,130)",46.81880
24,"(799,696)",25,"(809,648)",49.03060,q,"(717,722)",86.02325
24,"(799,696)",30,"(861,760)",89.10668,q,"(717,722)",86.02325
25,"(809,648)",33,"(886,637)",77.78175,null,null,null
26,"(822,198)",32,"(881,195)",59.07622,y,"(830,240)",42.75512
29,"(859,307)",31,"(879,376)",71.84010,v,"(802,318)",58.05170
1,"(14,972)",null,null,null,D,"(0,1006)",36.76955
6,"(260,334)",null,null,null,K,"(82,485)",233.42022
7,"(316,14)",null,null,null,V,"(317,10)",4.12311
8,"(346,902)",null,null,null,W,"(348,882)",20.09975
12,"(468,369)",null,null,null,`,"(488,362)",21.18962
14,"(480,684)",null,null,null,d,"(570,683)",90.00556
15,"(508,1050)",null,null,null,_,"(473,1031)",39.82462
16,"(574,23)",null,null,null,f,"(620,1)",50.99020
17,"(644,485)",null,null,null,g,"(633,460)",27.31300
19,"(656,335)",null,null,null,e,"(574,381)",94.02127
22,"(750,471)",null,null,null,t,"(763,440)",33.61547
27,"(843,55)",null,null,null,s,"(748,1)",109.27488
28,"(854,1068)",null,null,null,l,"(679,1125)",184.04891
30,"(861,760)",null,null,null,},"(899,853)",100.46392
31,"(879,376)",null,null,null,z,"(845,452)",83.25863
32,"(881,195)",null,null,null,~,"(901,242)",51.07837
