Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(28,43)",4,"(30,127)",84.02381,I,"(7,67)",31.89044
3,"(29,430)",5,"(91,395)",71.19691,B,"(0,379)",58.66856
4,"(30,127)",6,"(119,173)",100.18483,D,"(1,160)",43.93177
6,"(119,173)",7,"(131,159)",18.43909,null,null,null
9,"(217,561)",13,"(250,593)",45.96738,L,"(32,648)",204.43581
14,"(361,607)",15,"(413,544)",81.68843,_,"(324,596)",38.60052
19,"(597,529)",23,"(662,567)",75.29276,null,null,null
20,"(636,158)",26,"(705,186)",74.46476,r,"(561,1)",173.99425
21,"(637,355)",22,"(637,361)",6.00000,q,"(559,323)",84.30896
21,"(637,355)",24,"(682,384)",53.53504,q,"(559,323)",84.30896
21,"(637,355)",29,"(720,371)",84.52810,q,"(559,323)",84.30896
22,"(637,361)",24,"(682,384)",50.53712,null,null,null
22,"(637,361)",29,"(720,371)",83.60024,null,null,null
23,"(662,567)",30,"(719,515)",77.15569,null,null,null
23,"(662,567)",32,"(732,641)",101.86265,null,null,null
24,"(682,384)",29,"(720,371)",40.16217,null,null,null
24,"(682,384)",28,"(717,454)",78.26238,null,null,null
24,"(682,384)",35,"(758,401)",77.87811,null,null,null
24,"(682,384)",36,"(767,401)",86.68333,null,null,null
24,"(682,384)",31,"(721,473)",97.16995,null,null,null
26,"(705,186)",27,"(713,262)",76.41989,null,null,null
27,"(713,262)",34,"(754,264)",41.04875,null,null,null
28,"(717,454)",31,"(721,473)",19.41649,null,null,null
28,"(717,454)",35,"(758,401)",67.00746,null,null,null
28,"(717,454)",36,"(767,401)",72.86288,null,null,null
28,"(717,454)",37,"(769,475)",56.08030,null,null,null
28,"(717,454)",29,"(720,371)",83.05420,null,null,null
28,"(717,454)",41,"(793,370)",113.27842,null,null,null
28,"(717,454)",38,"(785,448)",68.26419,null,null,null
29,"(720,371)",35,"(758,401)",48.41487,{,"(717,360)",11.40175
29,"(720,371)",36,"(767,401)",55.75841,{,"(717,360)",11.40175
29,"(720,371)",41,"(793,370)",73.00685,{,"(717,360)",11.40175
30,"(719,515)",31,"(721,473)",42.04759,null,null,null
30,"(719,515)",39,"(786,524)",67.60178,null,null,null
31,"(721,473)",37,"(769,475)",48.04165,null,null,null
31,"(721,473)",35,"(758,401)",80.95060,null,null,null
31,"(721,473)",38,"(785,448)",68.70953,null,null,null
31,"(721,473)",36,"(767,401)",85.44004,null,null,null
31,"(721,473)",39,"(786,524)",82.61961,null,null,null
32,"(732,641)",33,"(749,634)",18.38478,null,null,null
34,"(754,264)",42,"(798,303)",58.79626,null,null,null
35,"(758,401)",36,"(767,401)",9.00000,null,null,null
35,"(758,401)",41,"(793,370)",46.75468,null,null,null
36,"(767,401)",41,"(793,370)",40.45986,null,null,null
36,"(767,401)",38,"(785,448)",50.32892,null,null,null
37,"(769,475)",38,"(785,448)",31.38471,null,null,null
37,"(769,475)",39,"(786,524)",51.86521,null,null,null
38,"(785,448)",47,"(859,455)",74.33034,null,null,null
38,"(785,448)",39,"(786,524)",76.00658,null,null,null
40,"(792,859)",44,"(855,841)",65.52099,},"(849,969)",123.89108
41,"(793,370)",42,"(798,303)",67.18631,|,"(807,376)",15.23155
43,"(851,621)",46,"(858,621)",7.00000,null,null,null
43,"(851,621)",48,"(886,550)",79.15807,null,null,null
1,"(25,1105)",null,null,null,F,"(1,1012)",96.04686
5,"(91,395)",null,null,null,A,"(0,297)",133.73481
7,"(131,159)",null,null,null,U,"(180,97)",79.02531
8,"(206,1000)",null,null,null,Q,"(160,793)",212.04952
10,"(227,1101)",null,null,null,T,"(174,1126)",58.60034
11,"(234,168)",null,null,null,Z,"(268,244)",83.25863
12,"(250,54)",null,null,null,R,"(168,2)",97.09789
13,"(250,593)",null,null,null,O,"(107,756)",216.83634
15,"(413,544)",null,null,null,d,"(403,463)",81.61495
16,"(467,216)",null,null,null,f,"(406,321)",121.43311
17,"(504,430)",null,null,null,c,"(398,424)",106.16968
18,"(560,663)",null,null,null,h,"(443,748)",144.61673
25,"(682,1110)",null,null,null,m,"(541,926)",231.81242
42,"(798,303)",null,null,null,,"(879,303)",81.00000
44,"(855,841)",null,null,null,~,"(859,808)",33.24154
46,"(858,621)",null,null,null,,"(885,710)",93.00538
47,"(859,455)",null,null,null,,"(860,452)",3.16228
48,"(886,550)",null,null,null,,"(900,565)",20.51828
49,"(886,44)",null,null,null,,"(897,5)",40.52160
