Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(33,748)",8,"(116,737)",83.72574,D,"(3,716)",43.86342
2,"(34,210)",6,"(68,210)",34.00000,null,null,null
2,"(34,210)",3,"(42,118)",92.34717,null,null,null
3,"(42,118)",9,"(122,132)",81.21576,F,"(12,10)",112.08925
4,"(45,312)",5,"(45,325)",13.00000,null,null,null
6,"(68,210)",9,"(122,132)",94.86833,null,null,null
8,"(116,737)",10,"(163,821)",96.25487,O,"(137,689)",52.39275
13,"(476,975)",15,"(483,1034)",59.41380,X,"(472,974)",4.12311
14,"(483,1056)",15,"(483,1034)",22.00000,V,"(413,1121)",95.52487
14,"(483,1056)",17,"(574,1114)",107.91200,V,"(413,1121)",95.52487
5,"(45,325)",null,null,null,A,"(0,446)",129.09686
7,"(76,1077)",null,null,null,G,"(15,924)",164.71187
10,"(163,821)",null,null,null,N,"(123,880)",71.28113
11,"(248,1056)",null,null,null,Q,"(177,1125)",99.00505
12,"(318,127)",null,null,null,S,"(330,171)",45.60702
16,"(535,801)",null,null,null,W,"(428,776)",109.88175
17,"(574,1114)",null,null,null,Z,"(585,1125)",15.55635
18,"(681,722)",null,null,null,Y,"(518,511)",266.62708
19,"(793,597)",null,null,null,],"(748,441)",162.36071
20,"(857,1097)",null,null,null,`,"(804,1126)",60.41523
21,"(875,207)",null,null,null,[,"(609,272)",273.82659
