Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(62,221)",5,"(135,182)",82.76473,B,"(1,382)",172.16852
11,"(764,349)",12,"(766,347)",2.82843,p,"(703,352)",61.07373
11,"(764,349)",13,"(858,329)",96.10411,p,"(703,352)",61.07373
12,"(766,347)",13,"(858,329)",93.74433,o,"(701,264)",105.42296
1,"(19,757)",null,null,null,A,"(0,802)",48.84670
3,"(80,1098)",null,null,null,C,"(1,1053)",90.91755
4,"(80,23)",null,null,null,J,"(53,2)",34.20526
5,"(135,182)",null,null,null,P,"(130,170)",13.00000
6,"(243,26)",null,null,null,T,"(241,87)",61.03278
7,"(365,943)",null,null,null,Y,"(281,1057)",141.60508
8,"(524,565)",null,null,null,W,"(257,588)",267.98881
9,"(611,94)",null,null,null,f,"(477,230)",190.92407
10,"(627,496)",null,null,null,h,"(521,341)",187.77913
13,"(858,329)",null,null,null,{,"(901,404)",86.45230
14,"(885,77)",null,null,null,z,"(901,42)",38.48376
