Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(91,1079)",6,"(176,1090)",85.70881,H,"(35,1009)",89.64374
3,"(98,216)",5,"(145,219)",47.09565,F,"(2,338)",155.24175
5,"(145,219)",11,"(234,274)",104.62313,null,null,null
6,"(176,1090)",12,"(236,1106)",62.09670,Y,"(167,1117)",28.46050
8,"(195,371)",9,"(220,366)",25.49510,G,"(24,532)",234.86592
8,"(195,371)",10,"(228,339)",45.96738,G,"(24,532)",234.86592
9,"(220,366)",10,"(228,339)",28.16026,a,"(254,388)",40.49691
10,"(228,339)",14,"(278,315)",55.46170,null,null,null
10,"(228,339)",11,"(234,274)",65.27634,null,null,null
10,"(228,339)",18,"(320,315)",95.07891,null,null,null
11,"(234,274)",14,"(278,315)",60.14150,g,"(308,159)",136.75160
11,"(234,274)",18,"(320,315)",95.27329,g,"(308,159)",136.75160
13,"(256,1007)",16,"(312,1097)",106.00000,Z,"(178,940)",102.82509
14,"(278,315)",18,"(320,315)",42.00000,null,null,null
15,"(286,740)",17,"(319,762)",39.66106,U,"(139,671)",162.38842
15,"(286,740)",20,"(335,736)",49.16299,U,"(139,671)",162.38842
17,"(319,762)",20,"(335,736)",30.52868,j,"(324,787)",25.49510
21,"(383,998)",24,"(427,991)",44.55334,i,"(318,980)",67.44627
22,"(416,606)",29,"(482,574)",73.34848,r,"(390,623)",31.06445
22,"(416,606)",23,"(423,533)",73.33485,r,"(390,623)",31.06445
22,"(416,606)",28,"(481,545)",89.14034,r,"(390,623)",31.06445
23,"(423,533)",26,"(455,533)",32.00000,d,"(262,522)",161.37534
26,"(455,533)",28,"(481,545)",28.63564,w,"(461,519)",15.23155
27,"(482,444)",32,"(530,494)",69.31089,null,null,null
27,"(482,444)",31,"(517,376)",76.47876,null,null,null
28,"(481,545)",29,"(482,574)",29.01724,null,null,null
28,"(481,545)",32,"(530,494)",70.72482,null,null,null
28,"(481,545)",33,"(542,592)",77.00649,null,null,null
29,"(482,574)",33,"(542,592)",62.64184,null,null,null
30,"(515,339)",31,"(517,376)",37.05401,null,null,null
30,"(515,339)",37,"(570,314)",60.41523,null,null,null
30,"(515,339)",38,"(576,307)",68.88396,null,null,null
30,"(515,339)",36,"(563,389)",69.31089,null,null,null
31,"(517,376)",36,"(563,389)",47.80167,null,null,null
32,"(530,494)",39,"(583,545)",73.55270,,"(601,462)",77.87811
33,"(542,592)",39,"(583,545)",62.36986,null,null,null
33,"(542,592)",40,"(595,623)",61.40033,null,null,null
34,"(544,114)",44,"(622,134)",80.52329,s,"(419,189)",145.77380
34,"(544,114)",35,"(554,19)",95.52487,s,"(419,189)",145.77380
37,"(570,314)",38,"(576,307)",9.21954,},"(574,337)",23.34524
39,"(583,545)",43,"(620,581)",51.62364,,"(621,468)",85.86617
40,"(595,623)",41,"(597,664)",41.04875,null,null,null
40,"(595,623)",43,"(620,581)",48.87740,null,null,null
43,"(620,581)",46,"(660,576)",40.31129,null,null,null
44,"(622,134)",45,"(639,197)",65.25335,null,null,null
44,"(622,134)",47,"(685,94)",74.62573,null,null,null
46,"(660,576)",49,"(691,591)",34.43835,,"(663,567)",9.48683
47,"(685,94)",55,"(773,116)",90.70832,,"(682,88)",6.70820
48,"(687,696)",51,"(718,670)",40.45986,,"(658,682)",32.20248
48,"(687,696)",52,"(735,738)",63.78087,,"(658,682)",32.20248
49,"(691,591)",51,"(718,670)",83.48653,,"(705,558)",35.84690
50,"(717,966)",54,"(768,884)",96.56604,,"(671,1126)",166.48123
51,"(718,670)",52,"(735,738)",70.09280,null,null,null
52,"(735,738)",57,"(791,798)",82.07314,null,null,null
54,"(768,884)",58,"(792,828)",60.92618,,"(786,882)",18.11077
57,"(791,798)",58,"(792,828)",30.01666,null,null,null
57,"(791,798)",59,"(872,758)",90.33825,null,null,null
1,"(17,122)",null,null,null,C,"(1,97)",29.68164
4,"(112,836)",null,null,null,A,"(0,661)",207.77151
7,"(186,33)",null,null,null,W,"(158,42)",29.41088
12,"(236,1106)",null,null,null,_,"(216,1125)",27.58623
16,"(312,1097)",null,null,null,h,"(310,1107)",10.19804
18,"(320,315)",null,null,null,l,"(332,291)",26.83282
19,"(328,847)",null,null,null,k,"(328,805)",42.00000
20,"(335,736)",null,null,null,n,"(349,736)",14.00000
25,"(432,1115)",null,null,null,u,"(433,1111)",4.12311
35,"(554,19)",null,null,null,,"(588,2)",38.01316
36,"(563,389)",null,null,null,|,"(568,400)",12.08305
38,"(576,307)",null,null,null,{,"(560,255)",54.40588
41,"(597,664)",null,null,null,y,"(496,687)",103.58571
45,"(639,197)",null,null,null,,"(628,222)",27.31300
53,"(765,275)",null,null,null,,"(765,285)",10.00000
55,"(773,116)",null,null,null,,"(762,192)",76.79193
56,"(774,642)",null,null,null,,"(769,651)",10.29563
58,"(792,828)",null,null,null,,"(819,864)",45.00000
59,"(872,758)",null,null,null,¤,"(894,790)",38.83298
