Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(125,515)",3,"(209,482)",90.24965,B,"(1,829)",337.59739
4,"(229,219)",6,"(308,285)",102.94173,N,"(122,131)",138.53880
1,"(17,469)",null,null,null,A,"(1,489)",25.61250
3,"(209,482)",null,null,null,P,"(204,412)",70.17834
5,"(257,54)",null,null,null,C,"(2,54)",255.00000
6,"(308,285)",null,null,null,W,"(307,299)",14.03567
7,"(322,516)",null,null,null,Y,"(330,496)",21.54066
8,"(361,47)",null,null,null,X,"(322,49)",39.05125
9,"(387,658)",null,null,null,E,"(3,1062)",557.37958
10,"(467,225)",null,null,null,l,"(529,259)",70.71068
11,"(484,123)",null,null,null,i,"(508,105)",30.00000
12,"(652,298)",null,null,null,o,"(553,415)",153.26448
13,"(760,37)",null,null,null,z,"(796,2)",50.20956
14,"(865,292)",null,null,null,,"(822,269)",48.76474
15,"(870,743)",null,null,null,t,"(595,964)",352.79739
16,"(889,546)",null,null,null,u,"(687,611)",212.20038
