Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(38,1107)",4,"(113,1114)",75.32596,F,"(25,1120)",18.38478
5,"(168,100)",6,"(173,167)",67.18631,I,"(74,126)",97.52948
5,"(168,100)",7,"(187,196)",97.86215,I,"(74,126)",97.52948
6,"(173,167)",7,"(187,196)",32.20248,K,"(98,160)",75.32596
6,"(173,167)",8,"(212,204)",53.75872,K,"(98,160)",75.32596
7,"(187,196)",8,"(212,204)",26.24881,O,"(135,266)",87.20092
8,"(212,204)",11,"(260,289)",97.61660,null,null,null
9,"(246,397)",10,"(247,377)",20.02498,B,"(1,458)",252.47970
9,"(246,397)",12,"(283,431)",50.24938,B,"(1,458)",252.47970
10,"(247,377)",13,"(292,302)",87.46428,R,"(216,332)",54.64430
11,"(260,289)",13,"(292,302)",34.53983,S,"(228,277)",34.17601
12,"(283,431)",18,"(362,366)",102.30347,null,null,null
13,"(292,302)",16,"(327,297)",35.35534,null,null,null
16,"(327,297)",21,"(373,335)",59.66574,null,null,null
17,"(340,776)",22,"(376,782)",36.49658,U,"(283,784)",57.55867
18,"(362,366)",21,"(373,335)",32.89377,^,"(395,400)",47.38143
19,"(363,559)",20,"(363,525)",34.00000,null,null,null
19,"(363,559)",24,"(443,607)",93.29523,null,null,null
23,"(440,627)",24,"(443,607)",20.22375,null,null,null
24,"(443,607)",26,"(520,568)",86.31338,null,null,null
25,"(491,330)",28,"(548,372)",70.80254,null,null,null
27,"(548,420)",29,"(556,443)",24.35159,null,null,null
27,"(548,420)",28,"(548,372)",48.00000,null,null,null
28,"(548,372)",29,"(556,443)",71.44928,null,null,null
28,"(548,372)",34,"(612,283)",109.62208,null,null,null
30,"(567,974)",31,"(570,951)",23.19483,_,"(506,959)",62.81720
32,"(603,1096)",35,"(625,1096)",22.00000,d,"(556,1119)",52.32590
32,"(603,1096)",36,"(636,1040)",65.00000,d,"(556,1119)",52.32590
33,"(605,276)",34,"(612,283)",9.89949,i,"(603,269)",7.28011
35,"(625,1096)",36,"(636,1040)",57.07013,o,"(659,1124)",44.04543
36,"(636,1040)",42,"(714,978)",99.63935,null,null,null
37,"(646,860)",39,"(654,865)",9.43398,h,"(593,875)",55.08176
38,"(646,906)",39,"(654,865)",41.77320,l,"(636,926)",22.36068
40,"(696,537)",45,"(758,538)",62.00806,null,null,null
41,"(715,940)",42,"(714,978)",38.01316,p,"(698,928)",20.80865
41,"(715,940)",43,"(734,896)",47.92703,p,"(698,928)",20.80865
43,"(734,896)",47,"(796,887)",62.64982,w,"(732,889)",7.28011
44,"(738,203)",48,"(799,172)",68.42514,t,"(716,148)",59.23681
45,"(758,538)",49,"(831,536)",73.02739,x,"(765,583)",45.54119
46,"(778,800)",50,"(837,809)",59.68249,q,"(700,785)",79.42921
46,"(778,800)",51,"(837,843)",73.00685,q,"(700,785)",79.42921
47,"(796,887)",51,"(837,843)",60.14150,|,"(796,889)",2.00000
48,"(799,172)",54,"(885,204)",91.76056,,"(894,8)",189.52836
50,"(837,809)",51,"(837,843)",34.00000,null,null,null
50,"(837,809)",56,"(887,864)",74.33034,null,null,null
51,"(837,843)",56,"(887,864)",54.23099,null,null,null
52,"(840,1103)",53,"(850,1054)",50.01000,null,null,null
52,"(840,1103)",55,"(885,1050)",69.52697,null,null,null
53,"(850,1054)",55,"(885,1050)",35.22783,},"(800,992)",79.64923
1,"(19,997)",null,null,null,A,"(0,915)",84.17244
2,"(25,9)",null,null,null,E,"(9,2)",17.46425
4,"(113,1114)",null,null,null,L,"(123,1024)",90.55385
14,"(320,960)",null,null,null,W,"(327,998)",38.63936
15,"(325,665)",null,null,null,V,"(316,687)",23.76973
22,"(376,782)",null,null,null,],"(380,838)",56.14268
31,"(570,951)",null,null,null,e,"(579,912)",40.02499
39,"(654,865)",null,null,null,r,"(702,847)",51.26402
49,"(831,536)",null,null,null,,"(900,625)",112.61439
54,"(885,204)",null,null,null,,"(901,182)",27.20294
55,"(885,1050)",null,null,null,,"(901,1022)",32.24903
56,"(887,864)",null,null,null,,"(901,896)",34.92850
