Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
7,"(727,315)",9,"(821,314)",94.00532,\,"(466,229)",274.80357
1,"(19,615)",null,null,null,B,"(1,653)",42.04759
2,"(50,1023)",null,null,null,C,"(3,950)",86.82166
3,"(74,473)",null,null,null,A,"(0,420)",91.02198
4,"(212,13)",null,null,null,J,"(149,144)",145.36162
5,"(249,928)",null,null,null,P,"(229,854)",76.65507
6,"(600,565)",null,null,null,[,"(456,618)",153.44380
8,"(789,662)",null,null,null,c,"(677,910)",272.11762
9,"(821,314)",null,null,null,k,"(824,301)",13.34166
10,"(839,554)",null,null,null,l,"(833,576)",22.80351
