Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(206,277)",3,"(206,267)",10.00000,H,"(90,361)",143.22011
2,"(206,277)",4,"(252,338)",76.40026,H,"(90,361)",143.22011
3,"(206,267)",4,"(252,338)",84.59905,A,"(0,139)",242.52835
4,"(252,338)",7,"(341,318)",91.21952,G,"(82,482)",222.79138
5,"(313,14)",9,"(382,40)",73.73602,Q,"(315,7)",7.28011
7,"(341,318)",8,"(380,344)",46.87217,S,"(338,305)",13.34166
10,"(467,665)",11,"(468,702)",37.01351,N,"(232,604)",242.78797
14,"(647,301)",16,"(649,329)",28.07134,a,"(515,199)",166.81727
14,"(647,301)",18,"(708,338)",71.34424,a,"(515,199)",166.81727
16,"(649,329)",18,"(708,338)",59.68249,c,"(573,388)",96.21330
19,"(708,161)",23,"(792,168)",84.29116,p,"(699,196)",36.13862
20,"(725,602)",24,"(804,647)",90.91755,null,null,null
21,"(745,470)",22,"(756,445)",27.31300,null,null,null
22,"(756,445)",26,"(820,417)",69.85700,v,"(752,441)",5.65685
23,"(792,168)",25,"(818,195)",37.48333,x,"(807,128)",42.72002
24,"(804,647)",34,"(881,643)",77.10383,q,"(699,742)",141.59802
25,"(818,195)",33,"(881,192)",63.07139,y,"(822,229)",34.23449
26,"(820,417)",31,"(871,376)",65.43699,{,"(844,455)",44.94441
26,"(820,417)",32,"(871,350)",84.20214,{,"(844,455)",44.94441
27,"(837,55)",35,"(883,53)",46.04346,z,"(828,81)",27.51363
29,"(856,315)",32,"(871,350)",38.07887,w,"(787,319)",69.11584
31,"(871,376)",32,"(871,350)",26.00000,null,null,null
1,"(12,748)",null,null,null,B,"(0,1011)",263.27362
6,"(338,899)",null,null,null,J,"(150,1125)",293.97279
8,"(380,344)",null,null,null,R,"(328,515)",178.73164
9,"(382,40)",null,null,null,W,"(354,156)",119.33147
11,"(468,702)",null,null,null,\,"(442,756)",59.93330
12,"(512,1051)",null,null,null,[,"(439,983)",99.76472
13,"(569,23)",null,null,null,e,"(622,0)",57.77543
15,"(648,509)",null,null,null,g,"(627,501)",22.47221
17,"(682,9)",null,null,null,h,"(656,1)",27.20294
18,"(708,338)",null,null,null,s,"(722,374)",38.62642
28,"(850,1069)",null,null,null,k,"(683,1126)",176.45963
30,"(861,774)",null,null,null,l,"(685,794)",177.13272
32,"(871,350)",null,null,null,|,"(892,339)",23.70654
33,"(881,192)",null,null,null,,"(902,135)",60.74537
35,"(883,53)",null,null,null,~,"(901,25)",33.28663
