Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(70,635)",4,"(70,647)",12.00000,null,null,null
3,"(70,635)",9,"(114,718)",93.94147,null,null,null
4,"(70,647)",9,"(114,718)",83.52844,A,"(0,722)",102.59142
5,"(79,49)",6,"(79,112)",63.00000,E,"(6,1)",87.36704
7,"(92,289)",8,"(99,317)",28.86174,H,"(46,256)",56.61272
9,"(114,718)",10,"(206,730)",92.77931,null,null,null
10,"(206,730)",13,"(227,736)",21.84033,null,null,null
10,"(206,730)",14,"(234,749)",33.83785,null,null,null
11,"(208,583)",12,"(221,591)",15.26434,null,null,null
13,"(227,736)",14,"(234,749)",14.76482,M,"(313,687)",98.97980
14,"(234,749)",16,"(295,817)",91.35097,null,null,null
15,"(294,1086)",18,"(332,995)",98.61541,K,"(239,1126)",68.00735
17,"(322,85)",21,"(418,118)",101.51355,L,"(279,131)",62.96825
20,"(416,741)",22,"(482,740)",66.00758,O,"(383,708)",46.66905
20,"(416,741)",25,"(494,736)",78.16009,O,"(383,708)",46.66905
21,"(418,118)",23,"(490,164)",85.44004,Q,"(493,31)",114.86514
22,"(482,740)",25,"(494,736)",12.64911,P,"(453,846)",109.89540
23,"(490,164)",24,"(491,189)",25.01999,null,null,null
25,"(494,736)",27,"(568,661)",105.36128,S,"(537,775)",58.05170
27,"(568,661)",29,"(646,616)",90.04999,null,null,null
28,"(642,542)",29,"(646,616)",74.10803,null,null,null
30,"(670,95)",32,"(712,168)",84.21995,Y,"(770,1)",137.24431
30,"(670,95)",33,"(723,167)",89.40358,Y,"(770,1)",137.24431
31,"(699,1100)",35,"(758,1019)",100.20978,U,"(674,1092)",26.24881
32,"(712,168)",33,"(723,167)",11.04536,null,null,null
34,"(743,951)",36,"(777,996)",56.40035,null,null,null
34,"(743,951)",35,"(758,1019)",69.63476,null,null,null
35,"(758,1019)",36,"(777,996)",29.83287,T,"(672,1011)",86.37129
37,"(804,867)",39,"(847,931)",77.10383,[,"(806,857)",10.19804
38,"(835,609)",40,"(864,639)",41.72529,null,null,null
1,"(7,959)",null,null,null,B,"(0,972)",14.76482
2,"(38,1059)",null,null,null,C,"(1,1020)",53.75872
6,"(79,112)",null,null,null,I,"(51,125)",30.87070
19,"(409,1083)",null,null,null,R,"(499,1123)",98.48858
24,"(491,189)",null,null,null,N,"(355,320)",188.83061
33,"(723,167)",null,null,null,\,"(817,225)",110.45361
36,"(777,996)",null,null,null,Z,"(785,998)",8.24621
39,"(847,931)",null,null,null,_,"(871,918)",27.29469
40,"(864,639)",null,null,null,`,"(872,676)",37.85499
41,"(875,419)",null,null,null,a,"(887,403)",20.00000
42,"(893,1080)",null,null,null,f,"(901,1094)",16.12452
