Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(33,11)",3,"(46,83)",73.16420,G,"(28,9)",5.38516
3,"(46,83)",4,"(47,88)",5.09902,D,"(7,61)",44.77723
5,"(63,188)",8,"(135,162)",76.55064,E,"(8,163)",60.41523
6,"(85,1085)",7,"(133,1085)",48.00000,F,"(21,1126)",76.00658
7,"(133,1085)",13,"(191,993)",108.75661,Y,"(242,1126)",116.45600
8,"(135,162)",9,"(172,62)",106.62551,R,"(159,220)",62.76942
9,"(172,62)",12,"(187,54)",17.00000,null,null,null
9,"(172,62)",11,"(183,16)",47.29693,null,null,null
11,"(183,16)",12,"(187,54)",38.20995,W,"(198,2)",20.51828
12,"(187,54)",16,"(275,28)",91.76056,null,null,null
13,"(191,993)",15,"(264,1002)",73.55270,null,null,null
17,"(341,231)",18,"(342,299)",68.00735,`,"(327,227)",14.56022
18,"(342,299)",23,"(378,298)",36.01389,null,null,null
19,"(349,513)",25,"(409,559)",75.60423,Z,"(247,521)",102.31324
19,"(349,513)",22,"(366,432)",82.76473,Z,"(247,521)",102.31324
22,"(366,432)",24,"(397,431)",31.01612,null,null,null
22,"(366,432)",27,"(444,380)",93.74433,null,null,null
22,"(366,432)",28,"(454,448)",89.44272,null,null,null
24,"(397,431)",27,"(444,380)",69.35416,null,null,null
24,"(397,431)",28,"(454,448)",59.48109,null,null,null
25,"(409,559)",29,"(463,517)",68.41053,null,null,null
25,"(409,559)",26,"(417,631)",72.44308,null,null,null
25,"(409,559)",32,"(493,524)",91.00000,null,null,null
27,"(444,380)",30,"(463,400)",27.58623,null,null,null
28,"(454,448)",30,"(463,400)",48.83646,null,null,null
28,"(454,448)",29,"(463,517)",69.58448,null,null,null
28,"(454,448)",32,"(493,524)",85.42248,null,null,null
29,"(463,517)",32,"(493,524)",30.80584,null,null,null
31,"(483,21)",33,"(522,71)",63.41136,null,null,null
35,"(564,444)",38,"(606,481)",55.97321,n,"(551,450)",14.31782
35,"(564,444)",36,"(577,379)",66.28725,n,"(551,450)",14.31782
35,"(564,444)",39,"(606,505)",74.06079,n,"(551,450)",14.31782
36,"(577,379)",37,"(602,367)",27.73085,null,null,null
36,"(577,379)",45,"(652,363)",76.68768,null,null,null
36,"(577,379)",44,"(650,319)",94.49339,null,null,null
37,"(602,367)",45,"(652,363)",50.15974,null,null,null
37,"(602,367)",44,"(650,319)",67.88225,null,null,null
37,"(602,367)",46,"(674,298)",99.72462,null,null,null
38,"(606,481)",39,"(606,505)",24.00000,null,null,null
38,"(606,481)",48,"(684,465)",79.62412,null,null,null
39,"(606,505)",42,"(629,547)",47.88528,null,null,null
42,"(629,547)",47,"(678,544)",49.09175,r,"(623,556)",10.81665
43,"(635,987)",53,"(724,988)",89.00562,null,null,null
44,"(650,319)",46,"(674,298)",31.89044,null,null,null
44,"(650,319)",45,"(652,363)",44.04543,null,null,null
47,"(678,544)",50,"(701,565)",31.14482,null,null,null
47,"(678,544)",48,"(684,465)",79.22752,null,null,null
49,"(687,622)",52,"(718,646)",39.20459,v,"(683,622)",4.00000
49,"(687,622)",50,"(701,565)",58.69412,v,"(683,622)",4.00000
49,"(687,622)",51,"(717,565)",64.41273,v,"(683,622)",4.00000
50,"(701,565)",51,"(717,565)",16.00000,null,null,null
51,"(717,565)",54,"(756,591)",46.87217,},"(727,551)",17.20465
52,"(718,646)",54,"(756,591)",66.85058,null,null,null
54,"(756,591)",58,"(837,610)",83.19856,null,null,null
55,"(779,778)",59,"(855,764)",77.27872,,"(787,865)",87.36704
56,"(833,50)",60,"(865,48)",32.06244,{,"(718,59)",115.35164
57,"(836,633)",58,"(837,610)",23.02173,,"(820,641)",17.88854
57,"(836,633)",61,"(868,703)",76.96753,,"(820,641)",17.88854
57,"(836,633)",63,"(884,703)",84.87638,,"(820,641)",17.88854
59,"(855,764)",62,"(883,765)",28.01785,null,null,null
59,"(855,764)",61,"(868,703)",62.36986,null,null,null
59,"(855,764)",63,"(884,703)",67.54258,null,null,null
61,"(868,703)",63,"(884,703)",16.00000,null,null,null
61,"(868,703)",62,"(883,765)",63.78871,null,null,null
62,"(883,765)",63,"(884,703)",62.00806,,"(900,784)",25.49510
1,"(10,872)",null,null,null,A,"(1,888)",18.35756
4,"(47,88)",null,null,null,P,"(80,81)",33.73426
10,"(173,362)",null,null,null,B,"(2,545)",250.45958
14,"(195,843)",null,null,null,S,"(181,769)",75.31268
15,"(264,1002)",null,null,null,^,"(297,989)",35.46830
16,"(275,28)",null,null,null,\,"(289,39)",17.80449
20,"(350,134)",null,null,null,_,"(321,150)",33.12099
21,"(355,1088)",null,null,null,d,"(380,1002)",89.56004
23,"(378,298)",null,null,null,e,"(381,288)",10.44031
26,"(417,631)",null,null,null,b,"(350,756)",141.82383
30,"(463,400)",null,null,null,g,"(489,388)",28.63564
32,"(493,524)",null,null,null,h,"(491,533)",9.21954
34,"(548,233)",null,null,null,l,"(549,232)",1.41421
40,"(610,736)",null,null,null,i,"(492,809)",138.75518
41,"(616,1103)",null,null,null,o,"(565,1125)",55.54278
45,"(652,363)",null,null,null,u,"(679,371)",28.16026
46,"(674,298)",null,null,null,w,"(689,310)",19.20937
48,"(684,465)",null,null,null,z,"(714,445)",36.05551
53,"(724,988)",null,null,null,,"(745,1033)",49.65884
58,"(837,610)",null,null,null,,"(861,575)",42.43819
60,"(865,48)",null,null,null,,"(869,37)",11.70470
63,"(884,703)",null,null,null,,"(901,684)",25.49510
