Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(61,532)",4,"(152,497)",97.49872,H,"(41,631)",101.00000
2,"(115,1078)",7,"(188,1090)",73.97973,C,"(1,973)",154.98710
6,"(185,956)",9,"(228,959)",43.10452,\,"(173,986)",32.31099
6,"(185,956)",10,"(231,985)",54.37830,\,"(173,986)",32.31099
9,"(228,959)",10,"(231,985)",26.17250,null,null,null
9,"(228,959)",16,"(269,988)",50.21952,null,null,null
9,"(228,959)",20,"(310,878)",115.26057,null,null,null
10,"(231,985)",16,"(269,988)",38.11824,null,null,null
10,"(231,985)",12,"(240,1048)",63.63961,null,null,null
11,"(237,66)",13,"(248,67)",11.04536,V,"(148,2)",109.62208
12,"(240,1048)",14,"(266,1045)",26.17250,k,"(238,1053)",5.38516
12,"(240,1048)",16,"(269,988)",66.64083,k,"(238,1053)",5.38516
13,"(248,67)",18,"(297,155)",100.72239,r,"(281,36)",45.27693
14,"(266,1045)",16,"(269,988)",57.07889,t,"(297,1054)",32.28002
15,"(269,197)",17,"(276,230)",33.73426,p,"(256,191)",14.31782
15,"(269,197)",18,"(297,155)",50.47772,p,"(256,191)",14.31782
15,"(269,197)",22,"(324,221)",60.00833,p,"(256,191)",14.31782
17,"(276,230)",22,"(324,221)",48.83646,q,"(275,308)",78.00641
17,"(276,230)",18,"(297,155)",77.88453,q,"(275,308)",78.00641
18,"(297,155)",22,"(324,221)",71.30919,y,"(339,132)",47.88528
19,"(303,531)",21,"(313,508)",25.07987,o,"(252,535)",51.15662
20,"(310,878)",27,"(376,905)",71.30919,h,"(222,831)",99.76472
23,"(338,758)",31,"(408,770)",71.02112,i,"(230,730)",111.57061
24,"(376,315)",26,"(376,296)",19.00000,s,"(283,387)",117.61377
24,"(376,315)",30,"(396,340)",32.01562,s,"(283,387)",117.61377
25,"(375,983)",32,"(413,988)",38.32754,null,null,null
25,"(375,983)",27,"(376,905)",78.00641,null,null,null
26,"(376,296)",28,"(388,275)",24.18677,null,null,null
26,"(376,296)",30,"(396,340)",48.33218,null,null,null
28,"(388,275)",34,"(437,290)",51.24451,null,null,null
28,"(388,275)",37,"(446,305)",65.29931,null,null,null
29,"(396,634)",36,"(441,593)",60.87693,w,"(327,668)",76.92204
29,"(396,634)",39,"(455,664)",66.18912,w,"(327,668)",76.92204
29,"(396,634)",41,"(475,614)",81.49233,w,"(327,668)",76.92204
30,"(396,340)",33,"(425,340)",29.00000,null,null,null
30,"(396,340)",37,"(446,305)",61.03278,null,null,null
31,"(408,770)",40,"(466,737)",66.73080,null,null,null
31,"(408,770)",38,"(453,823)",69.52697,null,null,null
33,"(425,340)",37,"(446,305)",40.81666,null,null,null
33,"(425,340)",35,"(437,377)",38.89730,null,null,null
34,"(437,290)",37,"(446,305)",17.49286,,"(441,278)",12.64911
36,"(441,593)",41,"(475,614)",39.96248,,"(452,494)",99.60924
37,"(446,305)",44,"(507,279)",66.30988,null,null,null
38,"(453,823)",43,"(492,767)",68.24222,,"(453,837)",14.00000
39,"(455,664)",42,"(476,688)",31.89044,null,null,null
39,"(455,664)",41,"(475,614)",53.85165,null,null,null
40,"(466,737)",43,"(492,767)",39.69887,null,null,null
40,"(466,737)",42,"(476,688)",50.01000,null,null,null
42,"(476,688)",45,"(554,686)",78.02564,null,null,null
43,"(492,767)",46,"(556,730)",73.92564,null,null,null
45,"(554,686)",51,"(585,667)",36.35932,null,null,null
45,"(554,686)",46,"(556,730)",44.04543,null,null,null
45,"(554,686)",48,"(570,622)",65.96969,null,null,null
46,"(556,730)",54,"(638,742)",82.87340,null,null,null
47,"(562,258)",50,"(581,277)",26.87006,,"(552,260)",10.19804
48,"(570,622)",51,"(585,667)",47.43416,,"(566,622)",4.00000
49,"(570,119)",53,"(632,165)",77.20104,,"(424,1)",187.72320
51,"(585,667)",56,"(678,702)",99.36800,null,null,null
51,"(585,667)",57,"(682,702)",103.12129,null,null,null
52,"(629,833)",59,"(703,910)",106.79419,,"(566,897)",89.80535
52,"(629,833)",54,"(638,742)",91.44397,,"(566,897)",89.80535
53,"(632,165)",58,"(685,130)",63.51378,null,null,null
53,"(632,165)",55,"(647,230)",66.70832,null,null,null
54,"(638,742)",56,"(678,702)",56.56854,null,null,null
54,"(638,742)",57,"(682,702)",59.46427,null,null,null
56,"(678,702)",57,"(682,702)",4.00000,,"(680,628)",74.02702
57,"(682,702)",62,"(781,753)",111.36427,null,null,null
60,"(747,94)",63,"(792,76)",48.46648, ,"(745,68)",26.07681
62,"(781,753)",66,"(822,715)",55.90170,null,null,null
3,"(117,868)",null,null,null,B,"(1,831)",121.75796
4,"(152,497)",null,null,null,M,"(91,432)",89.14034
5,"(155,234)",null,null,null,A,"(0,333)",183.91846
7,"(188,1090)",null,null,null,`,"(189,1093)",3.16228
8,"(204,165)",null,null,null,a,"(196,168)",8.54400
21,"(313,508)",null,null,null,u,"(302,472)",37.64306
22,"(324,221)",null,null,null,x,"(338,231)",17.20465
27,"(376,905)",null,null,null,,"(423,884)",51.47815
32,"(413,988)",null,null,null,,"(416,1007)",19.23538
35,"(437,377)",null,null,null,,"(413,433)",60.92618
41,"(475,614)",null,null,null,,"(483,575)",39.81206
44,"(507,279)",null,null,null,,"(515,227)",52.61179
50,"(581,277)",null,null,null,,"(561,304)",33.60060
55,"(647,230)",null,null,null,,"(646,232)",2.23607
58,"(685,130)",null,null,null,,"(664,62)",71.16881
61,"(752,1079)",null,null,null,­,"(809,1124)",72.62231
63,"(792,76)",null,null,null,¢,"(752,1)",85.00000
64,"(796,652)",null,null,null,£,"(790,652)",6.00000
65,"(807,858)",null,null,null,°,"(863,943)",101.78900
66,"(822,715)",null,null,null,®,"(815,694)",22.13594
67,"(877,355)",null,null,null,©,"(798,385)",84.50444
68,"(894,710)",null,null,null,±,"(874,713)",20.22375
