Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(275,353)",6,"(333,293)",83.45058,I,"(137,388)",142.36924
4,"(308,1036)",7,"(343,1038)",35.05710,C,"(1,1063)",308.18501
9,"(488,112)",10,"(556,81)",74.73286,a,"(362,20)",156.01282
10,"(556,81)",12,"(641,98)",86.68333,l,"(516,2)",88.54942
1,"(71,2)",null,null,null,D,"(69,1)",2.23607
2,"(80,556)",null,null,null,A,"(0,395)",179.78042
5,"(323,569)",null,null,null,P,"(218,579)",105.47512
6,"(333,293)",null,null,null,O,"(199,192)",167.80048
7,"(343,1038)",null,null,null,\,"(343,1126)",88.00000
8,"(466,225)",null,null,null,f,"(445,236)",23.70654
11,"(632,771)",null,null,null,h,"(472,827)",169.51696
12,"(641,98)",null,null,null,s,"(647,96)",6.32456
13,"(760,649)",null,null,null,p,"(574,527)",222.44100
14,"(821,978)",null,null,null,z,"(733,900)",117.59252
15,"(878,107)",null,null,null,,"(850,1)",109.63576
