Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
12,"(707,696)",14,"(781,693)",74.06079,d,"(526,1049)",396.69888
1,"(9,465)",null,null,null,D,"(1,418)",47.67599
2,"(33,315)",null,null,null,A,"(0,46)",271.01660
3,"(78,1093)",null,null,null,E,"(1,822)",281.72682
4,"(114,536)",null,null,null,K,"(70,680)",150.57224
5,"(299,289)",null,null,null,Q,"(211,405)",145.60220
6,"(326,539)",null,null,null,S,"(231,521)",96.69023
7,"(364,47)",null,null,null,R,"(223,6)",146.84005
8,"(377,656)",null,null,null,X,"(349,721)",70.77429
10,"(477,117)",null,null,null,f,"(535,0)",130.58714
11,"(591,307)",null,null,null,a,"(490,437)",164.62381
13,"(750,33)",null,null,null,p,"(789,1)",50.44799
14,"(781,693)",null,null,null,q,"(792,964)",271.22316
15,"(859,361)",null,null,null,r,"(814,398)",58.25805
