Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(206,269)",3,"(256,337)",84.40379,A,"(0,130)",248.50956
3,"(256,337)",6,"(342,319)",87.86353,G,"(84,484)",226.25870
6,"(342,319)",7,"(383,345)",48.54894,P,"(342,314)",5.00000
7,"(383,345)",9,"(467,370)",87.64131,null,null,null
7,"(383,345)",8,"(409,445)",103.32473,null,null,null
10,"(473,668)",11,"(474,691)",23.02173,X,"(442,643)",39.82462
15,"(649,301)",16,"(653,332)",31.25700,],"(517,193)",170.55204
15,"(649,301)",19,"(710,341)",72.94518,],"(517,193)",170.55204
16,"(653,332)",19,"(710,341)",57.70615,_,"(571,384)",97.09789
18,"(705,169)",22,"(793,170)",88.00568,i,"(701,182)",13.60147
20,"(737,596)",23,"(806,647)",85.80210,null,null,null
22,"(793,170)",24,"(820,196)",37.48333,p,"(809,130)",43.08132
23,"(806,647)",32,"(884,641)",78.23043,j,"(712,726)",122.78844
24,"(820,196)",31,"(880,193)",60.07495,q,"(824,226)",30.26549
25,"(841,55)",33,"(886,52)",45.09989,r,"(830,88)",34.78505
27,"(857,311)",30,"(876,353)",46.09772,o,"(790,319)",67.47592
29,"(876,377)",30,"(876,353)",24.00000,s,"(838,449)",81.41253
1,"(6,744)",null,null,null,B,"(1,755)",12.08305
4,"(314,14)",null,null,null,N,"(315,8)",6.08276
5,"(342,902)",null,null,null,M,"(288,761)",150.98675
8,"(409,445)",null,null,null,K,"(242,588)",219.85905
9,"(467,370)",null,null,null,Y,"(459,399)",30.08322
11,"(474,691)",null,null,null,W,"(433,776)",94.37161
12,"(510,1049)",null,null,null,Z,"(472,1029)",42.94182
13,"(572,23)",null,null,null,b,"(620,1)",52.80152
14,"(646,486)",null,null,null,a,"(619,457)",39.62323
17,"(682,6)",null,null,null,e,"(663,1)",19.64688
19,"(710,341)",null,null,null,k,"(716,353)",13.41641
21,"(747,470)",null,null,null,n,"(765,439)",35.84690
26,"(852,1069)",null,null,null,f,"(682,1125)",178.98603
28,"(861,767)",null,null,null,u,"(898,848)",89.05055
30,"(876,353)",null,null,null,t,"(890,343)",17.20465
31,"(880,193)",null,null,null,y,"(902,136)",61.09828
33,"(886,52)",null,null,null,w,"(900,69)",22.02272
