Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(19,385)",null,null,null,C,"(2,168)",217.66488
2,"(61,982)",null,null,null,A,"(0,772)",218.68013
3,"(83,1105)",null,null,null,H,"(115,1125)",37.73592
4,"(257,367)",null,null,null,J,"(133,176)",227.72132
5,"(466,132)",null,null,null,P,"(228,130)",238.00840
6,"(508,364)",null,null,null,Z,"(511,371)",7.61577
7,"(512,587)",null,null,null,U,"(364,724)",201.67548
8,"(530,1121)",null,null,null,T,"(347,1043)",198.92964
9,"(704,390)",null,null,null,b,"(611,412)",95.56673
10,"(727,511)",null,null,null,f,"(698,518)",29.83287
11,"(734,1119)",null,null,null,g,"(722,1125)",13.41641
12,"(879,94)",null,null,null,n,"(886,84)",12.20656
