Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(189,741)",6,"(215,720)",33.42155,P,"(162,734)",27.89265
4,"(209,292)",5,"(211,269)",23.08679,J,"(81,479)",226.61200
12,"(575,407)",14,"(641,323)",106.82696,j,"(515,541)",146.81962
13,"(640,292)",14,"(641,323)",31.01612,k,"(526,217)",136.45878
17,"(720,163)",20,"(787,164)",67.00746,s,"(697,106)",61.46544
18,"(738,455)",19,"(739,450)",5.09902,y,"(753,534)",80.41144
18,"(738,455)",23,"(813,445)",75.66373,y,"(753,534)",80.41144
19,"(739,450)",23,"(813,445)",74.16873,w,"(726,400)",51.66237
20,"(787,164)",24,"(814,195)",41.10961,null,null,null
21,"(790,638)",22,"(796,647)",10.81665,{,"(804,621)",22.02272
21,"(790,638)",33,"(878,646)",88.36289,{,"(804,621)",22.02272
22,"(796,647)",33,"(878,646)",82.00610,u,"(700,736)",130.90836
23,"(813,445)",32,"(876,465)",66.09841,null,null,null
23,"(813,445)",27,"(840,348)",100.68764,null,null,null
24,"(814,195)",35,"(882,194)",68.00735,null,null,null
24,"(814,195)",29,"(856,275)",90.35486,null,null,null
25,"(821,57)",34,"(879,57)",58.00000,null,null,null
26,"(840,333)",27,"(840,348)",15.00000,null,null,null
26,"(840,333)",30,"(858,355)",28.42534,null,null,null
26,"(840,333)",29,"(856,275)",60.16644,null,null,null
27,"(840,348)",30,"(858,355)",19.31321,null,null,null
29,"(856,275)",35,"(882,194)",85.07056,null,null,null
1,"(8,989)",null,null,null,B,"(0,1017)",29.12044
2,"(22,750)",null,null,null,C,"(1,725)",32.64966
5,"(211,269)",null,null,null,A,"(0,176)",230.58621
6,"(215,720)",null,null,null,R,"(210,611)",109.11462
7,"(347,508)",null,null,null,O,"(148,529)",200.10497
8,"(376,344)",null,null,null,],"(335,302)",58.69412
9,"(378,43)",null,null,null,_,"(346,160)",121.29716
10,"(518,1054)",null,null,null,d,"(413,938)",156.46405
16,"(698,885)",null,null,null,q,"(689,876)",12.72792
28,"(842,1068)",null,null,null,r,"(693,1127)",160.25605
30,"(858,355)",null,null,null,,"(902,314)",60.14150
31,"(865,782)",null,null,null,|,"(895,795)",32.69557
34,"(879,57)",null,null,null,},"(902,31)",34.71311
35,"(882,194)",null,null,null,,"(902,143)",54.78138
