Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(57,1089)",3,"(145,1086)",88.05112,B,"(0,912)",185.95161
3,"(145,1086)",5,"(195,1001)",98.61541,[,"(233,1125)",96.25487
4,"(149,110)",6,"(206,45)",86.45230,A,"(0,331)",266.53705
4,"(149,110)",7,"(226,43)",102.06860,A,"(0,331)",266.53705
6,"(206,45)",7,"(226,43)",20.09975,null,null,null
8,"(274,530)",10,"(328,504)",59.93330,D,"(1,530)",273.00000
8,"(274,530)",11,"(331,462)",88.72993,D,"(1,530)",273.00000
9,"(306,385)",11,"(331,462)",80.95678,S,"(95,405)",211.94575
10,"(328,504)",11,"(331,462)",42.10701,null,null,null
10,"(328,504)",18,"(403,542)",84.07735,null,null,null
13,"(346,143)",15,"(346,73)",70.00000,null,null,null
17,"(383,676)",19,"(409,618)",63.56099,`,"(379,677)",4.12311
18,"(403,542)",20,"(453,517)",55.90170,null,null,null
18,"(403,542)",19,"(409,618)",76.23647,null,null,null
20,"(453,517)",22,"(521,529)",69.05071,h,"(466,444)",74.14850
22,"(521,529)",25,"(587,506)",69.89278,n,"(526,601)",72.17340
22,"(521,529)",26,"(587,484)",79.88116,n,"(526,601)",72.17340
25,"(587,506)",26,"(587,484)",22.00000,null,null,null
26,"(587,484)",30,"(658,463)",74.04053,null,null,null
27,"(600,674)",28,"(616,664)",18.86796,r,"(584,669)",16.76305
27,"(600,674)",33,"(686,680)",86.20905,r,"(584,669)",16.76305
28,"(616,664)",33,"(686,680)",71.80529,s,"(617,653)",11.04536
29,"(628,1093)",32,"(659,1007)",91.41663,q,"(560,1126)",75.58439
30,"(658,463)",31,"(660,385)",78.02564,u,"(687,508)",53.53504
33,"(686,680)",37,"(726,620)",72.11103,null,null,null
34,"(689,165)",35,"(702,144)",24.69818,null,null,null
40,"(816,47)",44,"(873,50)",57.07889,~,"(788,22)",37.53665
40,"(816,47)",42,"(848,106)",67.11930,~,"(788,22)",37.53665
41,"(831,166)",42,"(848,106)",62.36185,,"(798,172)",33.54102
41,"(831,166)",45,"(874,72)",103.36827,,"(798,172)",33.54102
42,"(848,106)",45,"(874,72)",42.80187,null,null,null
44,"(873,50)",45,"(874,72)",22.02272,,"(902,3)",55.22681
1,"(40,63)",null,null,null,K,"(26,104)",43.32436
5,"(195,1001)",null,null,null,L,"(48,881)",189.76038
7,"(226,43)",null,null,null,Z,"(224,12)",31.06445
11,"(331,462)",null,null,null,b,"(401,435)",75.02666
14,"(345,824)",null,null,null,T,"(104,744)",253.93109
15,"(346,73)",null,null,null,o,"(528,11)",192.27064
16,"(370,1077)",null,null,null,a,"(382,1032)",46.57252
19,"(409,618)",null,null,null,g,"(440,628)",32.57299
21,"(482,292)",null,null,null,c,"(422,310)",62.64184
23,"(539,220)",null,null,null,l,"(512,117)",106.48005
31,"(660,385)",null,null,null,w,"(715,370)",57.00877
32,"(659,1007)",null,null,null,,"(902,1065)",249.82594
35,"(702,144)",null,null,null,x,"(716,45)",99.98500
36,"(707,279)",null,null,null,},"(786,327)",92.43917
37,"(726,620)",null,null,null,|,"(774,667)",67.17887
38,"(774,532)",null,null,null,,"(800,523)",27.51363
39,"(790,805)",null,null,null,,"(875,960)",176.77670
43,"(865,581)",null,null,null,,"(868,545)",36.12478
45,"(874,72)",null,null,null,,"(901,93)",34.20526
