Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(6,250)",2,"(7,214)",36.01389,A,"(0,265)",16.15549
3,"(8,330)",5,"(49,363)",52.63079,C,"(1,314)",17.46425
4,"(24,831)",6,"(88,795)",73.43024,E,"(1,787)",49.64877
6,"(88,795)",10,"(135,794)",47.01064,T,"(72,743)",54.40588
8,"(110,1032)",9,"(125,1112)",81.39410,null,null,null
10,"(135,794)",15,"(188,775)",56.30275,^,"(131,837)",43.18565
11,"(166,959)",13,"(179,932)",29.96665,_,"(134,984)",40.60788
11,"(166,959)",12,"(173,1053)",94.26028,_,"(134,984)",40.60788
13,"(179,932)",14,"(180,900)",32.01562,g,"(196,938)",18.02776
14,"(180,900)",16,"(211,879)",37.44329,\,"(126,865)",64.35060
17,"(411,111)",22,"(462,144)",60.74537,p,"(274,112)",137.00365
18,"(450,949)",21,"(457,960)",13.03840,null,null,null
18,"(450,949)",24,"(467,873)",77.87811,null,null,null
19,"(454,1073)",23,"(462,1012)",61.52235,,"(430,1075)",24.08319
20,"(456,966)",21,"(457,960)",6.08276,~,"(418,984)",42.04759
20,"(456,966)",25,"(492,960)",36.49658,~,"(418,984)",42.04759
20,"(456,966)",23,"(462,1012)",46.38965,~,"(418,984)",42.04759
20,"(456,966)",27,"(545,914)",103.07764,~,"(418,984)",42.04759
21,"(457,960)",25,"(492,960)",35.00000,null,null,null
21,"(457,960)",27,"(545,914)",99.29753,null,null,null
23,"(462,1012)",26,"(498,1016)",36.22154,null,null,null
23,"(462,1012)",25,"(492,960)",60.03332,null,null,null
25,"(492,960)",26,"(498,1016)",56.32051,null,null,null
25,"(492,960)",27,"(545,914)",70.17834,null,null,null
27,"(545,914)",31,"(610,945)",72.01389,,"(542,895)",19.23538
28,"(581,72)",32,"(615,54)",38.47077,,"(478,0)",125.67020
29,"(589,760)",30,"(595,759)",6.08276,,"(532,789)",63.95311
31,"(610,945)",33,"(683,917)",78.18568,,"(601,1002)",57.70615
34,"(746,1035)",39,"(805,1026)",59.68249,,"(630,1066)",120.07081
35,"(752,762)",40,"(808,786)",60.92618,¤,"(693,724)",70.17834
35,"(752,762)",43,"(839,753)",87.46428,¤,"(693,724)",70.17834
36,"(779,400)",38,"(798,349)",54.42426,,"(632,445)",153.73354
36,"(779,400)",41,"(808,455)",62.17717,,"(632,445)",153.73354
37,"(791,514)",41,"(808,455)",61.40033,¨,"(751,534)",44.72136
37,"(791,514)",46,"(873,501)",83.02409,¨,"(751,534)",44.72136
38,"(798,349)",42,"(834,275)",82.29216,null,null,null
39,"(805,1026)",45,"(851,1074)",66.48308,null,null,null
40,"(808,786)",43,"(839,753)",45.27693,null,null,null
41,"(808,455)",46,"(873,501)",79.63040,null,null,null
45,"(851,1074)",47,"(886,1072)",35.05710,¬,"(826,1125)",56.79789
2,"(7,214)",null,null,null,I,"(5,208)",6.32456
5,"(49,363)",null,null,null,B,"(0,514)",158.75138
7,"(104,686)",null,null,null,M,"(24,691)",80.15610
9,"(125,1112)",null,null,null,J,"(7,1109)",118.03813
12,"(173,1053)",null,null,null,c,"(171,1053)",2.00000
15,"(188,775)",null,null,null,f,"(189,769)",6.08276
16,"(211,879)",null,null,null,i,"(210,871)",8.06226
22,"(462,144)",null,null,null,z,"(380,313)",187.84302
24,"(467,873)",null,null,null,x,"(343,870)",124.03629
26,"(498,1016)",null,null,null,,"(507,1028)",15.00000
30,"(595,759)",null,null,null,,"(607,737)",25.05993
32,"(615,54)",null,null,null,,"(613,38)",16.12452
33,"(683,917)",null,null,null,£,"(692,936)",21.02380
42,"(834,275)",null,null,null,©,"(759,281)",75.23962
43,"(839,753)",null,null,null,®,"(855,684)",70.83078
44,"(850,911)",null,null,null,±,"(901,870)",65.43699
46,"(873,501)",null,null,null,°,"(901,564)",68.94200
47,"(886,1072)",null,null,null,²,"(901,1089)",22.67157
