Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(186,741)",6,"(212,722)",32.20248,O,"(137,732)",49.81967
2,"(186,741)",3,"(191,810)",69.18092,O,"(137,732)",49.81967
4,"(209,296)",5,"(212,269)",27.16616,K,"(83,358)",140.42792
10,"(570,412)",12,"(638,325)",110.42192,c,"(369,457)",205.97573
11,"(635,287)",12,"(638,325)",38.11824,k,"(537,231)",112.87161
15,"(719,164)",18,"(785,165)",66.00758,v,"(697,107)",61.09828
15,"(719,164)",22,"(813,194)",98.67117,v,"(697,107)",61.09828
16,"(734,451)",17,"(739,452)",5.09902,|,"(726,401)",50.63596
16,"(734,451)",21,"(812,428)",81.32035,|,"(726,401)",50.63596
17,"(739,452)",21,"(812,428)",76.84400,},"(756,532)",81.78631
18,"(785,165)",22,"(813,194)",40.31129,null,null,null
19,"(792,646)",33,"(879,646)",87.00000,y,"(700,735)",128.00391
20,"(812,314)",26,"(848,306)",36.87818,null,null,null
20,"(812,314)",24,"(821,367)",53.75872,null,null,null
21,"(812,428)",24,"(821,367)",61.66036,null,null,null
21,"(812,428)",31,"(869,470)",70.80254,null,null,null
22,"(813,194)",34,"(882,193)",69.00725,null,null,null
22,"(813,194)",27,"(852,277)",91.70605,null,null,null
24,"(821,367)",29,"(864,360)",43.56604,null,null,null
24,"(821,367)",28,"(864,348)",47.01064,null,null,null
24,"(821,367)",26,"(848,306)",66.70832,null,null,null
26,"(848,306)",27,"(852,277)",29.27456,null,null,null
26,"(848,306)",30,"(867,277)",34.66987,null,null,null
26,"(848,306)",28,"(864,348)",44.94441,null,null,null
26,"(848,306)",29,"(864,360)",56.32051,null,null,null
27,"(852,277)",30,"(867,277)",15.00000,null,null,null
27,"(852,277)",34,"(882,193)",89.19641,null,null,null
28,"(864,348)",29,"(864,360)",12.00000,null,null,null
28,"(864,348)",30,"(867,277)",71.06335,null,null,null
30,"(867,277)",34,"(882,193)",85.32878,null,null,null
1,"(21,747)",null,null,null,A,"(0,1016)",269.81846
3,"(191,810)",null,null,null,F,"(21,1106)",341.34440
5,"(212,269)",null,null,null,B,"(1,186)",226.73773
6,"(212,722)",null,null,null,Q,"(155,539)",191.67159
7,"(377,44)",null,null,null,`,"(343,162)",122.80065
8,"(519,1057)",null,null,null,d,"(419,944)",150.89400
9,"(562,21)",null,null,null,g,"(469,1)",95.12623
13,"(651,612)",null,null,null,f,"(448,656)",207.71375
14,"(699,887)",null,null,null,s,"(680,811)",78.33901
25,"(839,1068)",null,null,null,w,"(698,1126)",152.46311
31,"(869,470)",null,null,null,,"(881,492)",25.05993
32,"(869,783)",null,null,null,,"(899,796)",32.69557
34,"(882,193)",null,null,null,,"(902,110)",85.37564
