Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(67,40)",5,"(73,115)",75.23962,D,"(2,3)",74.79305
2,"(67,40)",6,"(77,115)",75.66373,D,"(2,3)",74.79305
2,"(67,40)",10,"(160,37)",93.04837,D,"(2,3)",74.79305
3,"(69,635)",4,"(69,650)",15.00000,null,null,null
4,"(69,650)",9,"(103,716)",74.24284,A,"(0,726)",102.64989
5,"(73,115)",6,"(77,115)",4.00000,L,"(53,124)",21.93171
5,"(73,115)",10,"(160,37)",116.84605,L,"(53,124)",21.93171
6,"(77,115)",10,"(160,37)",113.89908,null,null,null
7,"(95,293)",8,"(100,326)",33.37664,K,"(36,253)",71.28113
13,"(212,717)",15,"(216,764)",47.16991,R,"(267,723)",55.32630
14,"(216,788)",15,"(216,764)",24.00000,P,"(163,826)",65.21503
16,"(293,1087)",18,"(336,992)",104.27847,Q,"(260,1098)",34.78505
20,"(420,108)",22,"(470,145)",62.20129,W,"(506,35)",112.80514
22,"(470,145)",23,"(476,205)",60.29925,null,null,null
26,"(665,93)",28,"(714,176)",96.38465,\,"(749,3)",123.10971
27,"(710,982)",30,"(746,952)",46.86150,X,"(670,1011)",49.40648
28,"(714,176)",29,"(741,171)",27.45906,null,null,null
30,"(746,952)",31,"(759,1017)",66.28725,null,null,null
32,"(797,864)",35,"(846,928)",80.60397,_,"(804,843)",22.13594
33,"(827,622)",36,"(864,644)",43.04649,null,null,null
34,"(844,994)",35,"(846,928)",66.03030,`,"(840,995)",4.12311
1,"(6,1033)",null,null,null,B,"(0,974)",59.30430
9,"(103,716)",null,null,null,N,"(129,792)",80.32434
11,"(198,588)",null,null,null,S,"(314,555)",120.60265
12,"(200,424)",null,null,null,O,"(157,410)",45.22168
19,"(410,1081)",null,null,null,V,"(501,1118)",98.23441
21,"(456,744)",null,null,null,U,"(456,852)",108.00000
23,"(476,205)",null,null,null,T,"(347,321)",173.48487
29,"(741,171)",null,null,null,^,"(801,219)",76.83749
31,"(759,1017)",null,null,null,Y,"(677,1091)",110.45361
35,"(846,928)",null,null,null,d,"(875,914)",32.20248
36,"(864,644)",null,null,null,c,"(875,684)",41.48494
37,"(868,422)",null,null,null,j,"(902,383)",51.73973
38,"(893,1078)",null,null,null,h,"(901,1067)",13.60147
