Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(119,525)",4,"(201,494)",87.66413,H,"(72,668)",150.52575
5,"(234,215)",6,"(303,287)",99.72462,A,"(1,55)",282.64642
15,"(709,691)",17,"(792,688)",83.05420,p,"(569,582)",177.42886
1,"(15,469)",null,null,null,B,"(1,421)",50.00000
2,"(80,1091)",null,null,null,C,"(1,826)",276.52486
4,"(201,494)",null,null,null,O,"(204,479)",15.29706
6,"(303,287)",null,null,null,U,"(295,325)",38.83298
7,"(325,527)",null,null,null,V,"(332,509)",19.31321
8,"(361,48)",null,null,null,T,"(238,13)",127.88276
9,"(370,416)",null,null,null,\,"(363,434)",19.31321
10,"(382,657)",null,null,null,Z,"(352,745)",92.97311
11,"(466,225)",null,null,null,j,"(528,261)",71.69379
12,"(480,117)",null,null,null,h,"(506,105)",28.63564
13,"(491,1034)",null,null,null,W,"(334,1010)",158.82380
14,"(651,301)",null,null,null,o,"(564,406)",136.35982
16,"(760,36)",null,null,null,x,"(796,2)",49.51767
17,"(792,688)",null,null,null,y,"(797,970)",282.04432
18,"(860,288)",null,null,null,},"(832,273)",31.76476
