Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(107,40)",3,"(110,40)",3.00000,A,"(0,128)",138.53880
4,"(184,743)",7,"(204,726)",26.24881,S,"(118,732)",66.91039
4,"(184,743)",5,"(196,806)",64.13267,S,"(118,732)",66.91039
5,"(196,806)",8,"(267,784)",74.33034,I,"(22,1105)",345.94364
5,"(196,806)",7,"(204,726)",80.39900,I,"(22,1105)",345.94364
7,"(204,726)",8,"(267,784)",85.63294,U,"(199,606)",120.10412
15,"(717,336)",18,"(729,404)",69.05071,z,"(636,354)",82.97590
16,"(717,169)",22,"(782,167)",65.03076,{,"(680,227)",68.79680
17,"(726,449)",19,"(738,455)",13.41641,null,null,null
17,"(726,449)",18,"(729,404)",45.09989,null,null,null
18,"(729,404)",19,"(738,455)",51.78803,,"(760,387)",35.35534
20,"(745,656)",21,"(781,656)",36.00000,,"(699,739)",94.89468
20,"(745,656)",24,"(809,645)",64.93843,,"(699,739)",94.89468
21,"(781,656)",24,"(809,645)",30.08322,null,null,null
21,"(781,656)",36,"(877,648)",96.33276,null,null,null
22,"(782,167)",25,"(809,191)",36.12478,null,null,null
23,"(809,383)",35,"(865,364)",59.13544,,"(772,386)",37.12142
23,"(809,383)",32,"(851,475)",101.13358,,"(772,386)",37.12142
24,"(809,645)",36,"(877,648)",68.06614,null,null,null
25,"(809,191)",37,"(881,187)",72.11103,null,null,null
25,"(809,191)",29,"(823,273)",83.18654,null,null,null
28,"(814,535)",31,"(851,504)",48.27007,null,null,null
28,"(814,535)",33,"(851,499)",51.62364,null,null,null
28,"(814,535)",32,"(851,475)",70.49113,null,null,null
29,"(823,273)",34,"(865,276)",42.10701,null,null,null
31,"(851,504)",33,"(851,499)",5.00000,null,null,null
31,"(851,504)",32,"(851,475)",29.00000,null,null,null
32,"(851,475)",33,"(851,499)",24.00000,null,null,null
34,"(865,276)",37,"(881,187)",90.42677,null,null,null
1,"(18,743)",null,null,null,C,"(1,721)",27.80288
3,"(110,40)",null,null,null,T,"(139,152)",115.69356
6,"(202,306)",null,null,null,M,"(67,404)",166.82026
8,"(267,784)",null,null,null,[,"(312,915)",138.51354
9,"(377,47)",null,null,null,],"(326,196)",157.48651
10,"(559,19)",null,null,null,j,"(486,1)",75.18643
11,"(565,418)",null,null,null,_,"(349,520)",238.87235
12,"(577,955)",null,null,null,f,"(433,959)",144.05554
13,"(641,616)",null,null,null,k,"(497,616)",144.00000
14,"(699,884)",null,null,null,|,"(681,829)",57.87055
19,"(738,455)",null,null,null,,"(765,446)",28.46050
27,"(811,789)",null,null,null,,"(808,796)",7.61577
30,"(836,1067)",null,null,null,,"(704,1126)",144.58561
33,"(851,499)",null,null,null,,"(889,499)",38.00000
37,"(881,187)",null,null,null,,"(902,123)",67.35726
