Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(307,291)",4,"(347,291)",40.00000,H,"(108,136)",252.24195
6,"(480,116)",7,"(559,68)",92.43917,M,"(207,1)",296.23302
9,"(654,97)",11,"(741,29)",110.42192,j,"(625,89)",30.08322
10,"(704,695)",12,"(777,693)",73.02739,S,"(351,1075)",518.66078
13,"(788,454)",14,"(831,503)",65.19202,o,"(712,510)",94.40339
13,"(788,454)",15,"(858,380)",101.86265,o,"(712,510)",94.40339
1,"(106,545)",null,null,null,A,"(0,381)",195.27417
3,"(328,551)",null,null,null,O,"(241,538)",87.96590
4,"(347,291)",null,null,null,T,"(361,322)",34.01470
7,"(559,68)",null,null,null,a,"(533,2)",70.93659
8,"(576,306)",null,null,null,],"(495,428)",146.44111
11,"(741,29)",null,null,null,p,"(773,2)",41.86884
12,"(777,693)",null,null,null,q,"(789,960)",267.26953
14,"(831,503)",null,null,null,{,"(902,569)",96.93812
15,"(858,380)",null,null,null,r,"(848,308)",72.69113
