Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
12,"(599,309)",13,"(651,303)",52.34501,null,null,null
14,"(708,694)",16,"(783,692)",75.02666,b,"(520,1044)",397.29586
1,"(12,468)",null,null,null,D,"(2,417)",51.97115
2,"(35,314)",null,null,null,A,"(1,348)",48.08326
3,"(78,1092)",null,null,null,B,"(1,821)",281.72682
4,"(116,532)",null,null,null,H,"(71,675)",149.91331
5,"(299,290)",null,null,null,N,"(212,408)",146.60491
6,"(326,534)",null,null,null,S,"(328,526)",8.24621
7,"(379,656)",null,null,null,V,"(347,739)",88.95504
8,"(380,423)",null,null,null,[,"(378,427)",4.47214
10,"(477,116)",null,null,null,P,"(229,7)",270.89666
11,"(493,440)",null,null,null,_,"(493,438)",2.00000
13,"(651,303)",null,null,null,l,"(650,239)",64.00781
15,"(755,34)",null,null,null,s,"(791,2)",48.16638
16,"(783,692)",null,null,null,t,"(794,966)",274.22071
