Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(93,1075)",7,"(176,1085)",83.60024,I,"(31,1007)",92.02174
4,"(102,215)",6,"(152,218)",50.08992,D,"(1,340)",160.70470
6,"(152,218)",13,"(242,273)",105.47512,null,null,null
7,"(176,1085)",12,"(241,1108)",68.94926,Z,"(168,1121)",36.87818
9,"(191,972)",14,"(252,993)",64.51356,[,"(181,945)",28.79236
10,"(194,371)",11,"(222,367)",28.28427,T,"(107,390)",89.05055
11,"(222,367)",15,"(275,312)",76.38063,d,"(253,390)",38.60052
13,"(242,273)",15,"(275,312)",51.08816,c,"(231,290)",20.24846
13,"(242,273)",18,"(320,312)",87.20665,c,"(231,290)",20.24846
15,"(275,312)",18,"(320,312)",45.00000,null,null,null
16,"(282,738)",19,"(322,765)",48.25971,X,"(164,657)",143.12582
16,"(282,738)",21,"(335,735)",53.08484,X,"(164,657)",143.12582
19,"(322,765)",21,"(335,735)",32.69557,l,"(324,777)",12.16553
22,"(375,988)",26,"(430,992)",55.14526,n,"(327,980)",48.66210
23,"(404,957)",26,"(430,992)",43.60046,v,"(398,962)",7.81025
24,"(416,604)",28,"(444,604)",28.00000,u,"(380,630)",44.40721
24,"(416,604)",31,"(483,581)",70.83784,u,"(380,630)",44.40721
24,"(416,604)",25,"(424,532)",72.44308,u,"(380,630)",44.40721
25,"(424,532)",30,"(482,541)",58.69412,g,"(264,526)",160.11246
25,"(424,532)",28,"(444,604)",74.72617,g,"(264,526)",160.11246
28,"(444,604)",31,"(483,581)",45.27693,z,"(450,616)",13.41641
29,"(478,439)",34,"(530,494)",75.69016,t,"(379,441)",99.02020
29,"(478,439)",33,"(517,376)",74.09453,t,"(379,441)",99.02020
30,"(482,541)",31,"(483,581)",40.01250,null,null,null
30,"(482,541)",34,"(530,494)",67.17887,null,null,null
30,"(482,541)",35,"(536,590)",72.91776,null,null,null
31,"(483,581)",35,"(536,590)",53.75872,null,null,null
32,"(515,340)",33,"(517,376)",36.05551,null,null,null
32,"(515,340)",38,"(570,314)",60.83584,null,null,null
34,"(530,494)",39,"(581,544)",71.42129,null,null,null
35,"(536,590)",39,"(581,544)",64.35060,null,null,null
35,"(536,590)",40,"(582,637)",65.76473,null,null,null
36,"(548,116)",44,"(627,136)",81.49233,{,"(458,177)",108.72442
36,"(548,116)",37,"(561,19)",97.86726,{,"(458,177)",108.72442
39,"(581,544)",43,"(622,582)",55.90170,,"(615,472)",79.62412
39,"(581,544)",46,"(653,582)",81.41253,,"(615,472)",79.62412
40,"(582,637)",41,"(588,661)",24.73863,null,null,null
40,"(582,637)",43,"(622,582)",68.00735,null,null,null
41,"(588,661)",48,"(687,695)",104.67569,},"(513,668)",75.32596
43,"(622,582)",46,"(653,582)",31.00000,null,null,null
44,"(627,136)",45,"(642,198)",63.78871,null,null,null
44,"(627,136)",47,"(680,94)",67.62396,null,null,null
46,"(653,582)",49,"(691,596)",40.49691,,"(654,578)",4.12311
47,"(680,94)",55,"(773,113)",94.92102,,"(673,78)",17.46425
48,"(687,695)",51,"(730,740)",62.24147,null,null,null
48,"(687,695)",53,"(765,639)",96.02083,null,null,null
50,"(715,962)",54,"(767,882)",95.41488,,"(682,1126)",167.28718
51,"(730,740)",57,"(792,793)",81.56592,,"(739,729)",14.21267
53,"(765,639)",58,"(815,637)",50.03998,,"(754,624)",18.60108
54,"(767,882)",56,"(792,828)",59.50630,,"(784,884)",17.11724
54,"(767,882)",57,"(792,793)",92.44458,,"(784,884)",17.11724
56,"(792,828)",57,"(792,793)",35.00000,§,"(841,880)",71.44928
57,"(792,793)",60,"(874,748)",93.53609,null,null,null
59,"(867,659)",60,"(874,748)",89.27486,¨,"(850,658)",17.02939
1,"(19,124)",null,null,null,B,"(1,101)",29.20616
2,"(36,533)",null,null,null,F,"(17,647)",115.57249
5,"(114,835)",null,null,null,A,"(0,840)",114.10960
8,"(186,28)",null,null,null,W,"(154,38)",33.52611
12,"(241,1108)",null,null,null,a,"(223,1125)",24.75884
17,"(314,1102)",null,null,null,j,"(307,1109)",9.89949
18,"(320,312)",null,null,null,m,"(327,299)",14.76482
20,"(331,847)",null,null,null,o,"(331,821)",26.00000
21,"(335,735)",null,null,null,p,"(341,734)",6.08276
27,"(431,1115)",null,null,null,x,"(435,1101)",14.56022
33,"(517,376)",null,null,null,,"(574,380)",57.14018
37,"(561,19)",null,null,null,,"(591,3)",34.00000
38,"(570,314)",null,null,null,,"(571,328)",14.03567
42,"(596,956)",null,null,null,,"(619,965)",24.69818
45,"(642,198)",null,null,null,,"(630,247)",50.44799
49,"(691,596)",null,null,null,,"(698,629)",33.73426
52,"(764,277)",null,null,null,,"(762,276)",2.23607
55,"(773,113)",null,null,null,,"(745,192)",83.81527
58,"(815,637)",null,null,null,¢,"(818,641)",5.00000
60,"(874,748)",null,null,null,­,"(897,800)",56.85948
61,"(893,413)",null,null,null,¥,"(838,401)",56.29387
