Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(34,1032)",3,"(49,1003)",32.64966,null,null,null
2,"(38,278)",null,null,null,B,"(20,238)",43.86342
3,"(49,1003)",null,null,null,D,"(61,978)",27.73085
4,"(115,564)",null,null,null,A,"(16,626)",116.81181
5,"(617,524)",null,null,null,T,"(374,482)",246.60292
6,"(722,299)",null,null,null,U,"(471,236)",258.78563
7,"(767,512)",null,null,null,d,"(744,516)",23.34524
8,"(840,285)",null,null,null,i,"(829,282)",11.40175
9,"(869,171)",null,null,null,^,"(662,78)",226.93171
10,"(894,726)",null,null,null,Z,"(608,1051)",432.92147
