Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(42,19)",12,"(138,38)",97.86215,B,"(2,3)",43.08132
4,"(77,633)",5,"(77,669)",36.00000,null,null,null
4,"(77,633)",11,"(136,723)",107.61505,null,null,null
5,"(77,669)",11,"(136,723)",79.98125,E,"(26,722)",73.55270
6,"(89,242)",9,"(132,299)",71.40028,K,"(68,251)",22.84732
6,"(89,242)",8,"(99,158)",84.59314,K,"(68,251)",22.84732
7,"(96,109)",8,"(99,158)",49.09175,I,"(63,108)",33.01515
7,"(96,109)",12,"(138,38)",82.49242,I,"(63,108)",33.01515
9,"(132,299)",10,"(132,302)",3.00000,Q,"(171,235)",74.94665
11,"(136,723)",13,"(200,731)",64.49806,L,"(111,781)",63.15853
11,"(136,723)",14,"(222,767)",96.60228,L,"(111,781)",63.15853
13,"(200,731)",14,"(222,767)",42.19005,null,null,null
14,"(222,767)",16,"(291,794)",74.09453,N,"(151,827)",92.95698
15,"(241,530)",22,"(314,592)",95.77578,null,null,null
16,"(291,794)",18,"(302,838)",45.35416,null,null,null
16,"(291,794)",25,"(345,754)",67.20119,null,null,null
17,"(301,87)",20,"(313,89)",12.16553,null,null,null
17,"(301,87)",27,"(370,161)",101.17806,null,null,null
19,"(304,1094)",24,"(338,1002)",98.08160,T,"(272,1124)",43.86342
20,"(313,89)",27,"(370,161)",91.83137,X,"(371,40)",75.92760
21,"(314,627)",22,"(314,592)",35.00000,null,null,null
23,"(319,948)",24,"(338,1002)",57.24509,R,"(231,913)",94.70480
28,"(517,561)",31,"(532,660)",100.12992,[,"(442,554)",75.32596
29,"(519,186)",30,"(532,158)",30.87070,null,null,null
32,"(664,568)",33,"(664,580)",12.00000,j,"(741,486)",112.48555
34,"(676,1102)",37,"(696,1106)",20.39608,_,"(639,1013)",96.38465
35,"(694,115)",36,"(694,86)",29.00000,null,null,null
35,"(694,115)",38,"(700,171)",56.32051,null,null,null
35,"(694,115)",40,"(728,69)",57.20140,null,null,null
36,"(694,86)",40,"(728,69)",38.01316,^,"(622,34)",88.81441
37,"(696,1106)",39,"(725,1099)",29.83287,g,"(696,1108)",2.00000
41,"(738,935)",42,"(767,907)",40.31129,c,"(666,998)",95.67131
43,"(829,993)",44,"(849,1005)",23.32381,o,"(834,972)",21.58703
1,"(20,956)",null,null,null,C,"(10,957)",10.04988
2,"(35,1062)",null,null,null,A,"(1,1029)",47.38143
8,"(99,158)",null,null,null,M,"(147,186)",55.56978
22,"(314,592)",null,null,null,Z,"(387,559)",80.11242
26,"(352,322)",null,null,null,U,"(344,319)",8.54400
30,"(532,158)",null,null,null,],"(480,79)",94.57801
42,"(767,907)",null,null,null,k,"(741,861)",52.83938
44,"(849,1005)",null,null,null,p,"(848,1008)",3.16228
45,"(859,843)",null,null,null,r,"(860,791)",52.00961
46,"(861,591)",null,null,null,w,"(887,674)",86.97701
47,"(865,41)",null,null,null,x,"(892,68)",38.18377
48,"(888,411)",null,null,null,t,"(870,413)",18.11077
49,"(888,1085)",null,null,null,|,"(899,1072)",17.02939
50,"(889,239)",null,null,null,n,"(832,231)",57.55867
