Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(32,1042)",3,"(49,1007)",38.91015,M,"(240,1126)",224.32120
7,"(778,507)",9,"(825,572)",80.21222,Z,"(473,605)",320.35761
8,"(792,648)",9,"(825,572)",82.85530,k,"(783,647)",9.05539
2,"(38,279)",null,null,null,A,"(0,432)",157.64834
3,"(49,1007)",null,null,null,E,"(58,976)",32.28002
4,"(112,564)",null,null,null,B,"(14,633)",119.85408
5,"(673,913)",null,null,null,X,"(375,1011)",313.70049
6,"(723,303)",null,null,null,Y,"(469,235)",262.94486
9,"(825,572)",null,null,null,n,"(840,569)",15.29706
10,"(837,291)",null,null,null,m,"(835,291)",2.00000
11,"(866,175)",null,null,null,a,"(664,87)",220.33611
12,"(894,730)",null,null,null,p,"(850,727)",44.10215
