Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(13,411)",6,"(59,341)",83.76157,B,"(1,398)",17.69181
3,"(41,208)",7,"(61,208)",20.00000,null,null,null
3,"(41,208)",4,"(44,116)",92.04890,null,null,null
4,"(44,116)",8,"(115,132)",72.78049,J,"(15,14)",106.04244
5,"(48,316)",6,"(59,341)",27.31300,null,null,null
7,"(61,208)",8,"(115,132)",93.23090,null,null,null
10,"(247,893)",12,"(257,895)",10.19804,Q,"(206,930)",55.22681
14,"(476,971)",16,"(484,1032)",61.52235,Y,"(461,969)",15.13275
15,"(484,1060)",16,"(484,1032)",28.00000,X,"(409,1123)",97.94897
15,"(484,1060)",19,"(568,1116)",100.95544,X,"(409,1123)",97.94897
17,"(525,850)",18,"(529,802)",48.16638,\,"(577,903)",74.24958
2,"(34,745)",null,null,null,G,"(3,713)",44.55334
9,"(159,822)",null,null,null,K,"(38,955)",179.80545
11,"(253,1049)",null,null,null,A,"(0,1027)",253.95472
12,"(257,895)",null,null,null,R,"(275,884)",21.09502
13,"(313,118)",null,null,null,T,"(319,1)",117.15375
18,"(529,802)",null,null,null,W,"(406,790)",123.58398
19,"(568,1116)",null,null,null,[,"(574,1121)",7.81025
20,"(676,719)",null,null,null,Z,"(519,513)",259.00772
21,"(794,599)",null,null,null,a,"(743,422)",184.20098
22,"(837,999)",null,null,null,d,"(779,1001)",58.03447
23,"(846,1096)",null,null,null,_,"(709,1101)",137.09121
24,"(875,205)",null,null,null,],"(609,275)",275.05636
