Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
1,"(42,831)",2,"(76,882)",61.29437,B,"(17,878)",53.23533
2,"(76,882)",4,"(120,954)",84.38009,D,"(44,902)",37.73592
3,"(111,1115)",7,"(193,1086)",86.97701,E,"(96,1126)",18.60108
4,"(120,954)",5,"(184,953)",64.00781,F,"(115,987)",33.37664
5,"(184,953)",6,"(191,1045)",92.26592,null,null,null
6,"(191,1045)",7,"(193,1086)",41.04875,null,null,null
10,"(574,985)",11,"(601,1058)",77.83315,M,"(474,1019)",105.62197
12,"(607,850)",13,"(627,843)",21.18962,null,null,null
7,"(193,1086)",null,null,null,J,"(202,1094)",12.04159
8,"(344,234)",null,null,null,A,"(2,89)",371.46871
9,"(524,737)",null,null,null,N,"(505,736)",19.02630
11,"(601,1058)",null,null,null,Q,"(694,1024)",99.02020
14,"(790,1117)",null,null,null,R,"(710,1105)",80.89499
16,"(846,242)",null,null,null,V,"(816,348)",110.16351
17,"(873,125)",null,null,null,P,"(634,95)",240.87549
18,"(877,468)",null,null,null,Y,"(884,486)",19.31321
