Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(45,1060)",4,"(50,1096)",36.34556,G,"(34,1062)",11.18034
11,"(597,196)",12,"(600,231)",35.12834,null,null,null
13,"(669,677)",14,"(696,673)",27.29469,U,"(495,667)",174.28712
14,"(696,673)",15,"(780,676)",84.05355,Y,"(691,561)",112.11155
16,"(798,875)",23,"(855,878)",57.07889,null,null,null
16,"(798,875)",20,"(829,783)",97.08244,null,null,null
17,"(799,1092)",19,"(824,1002)",93.40771,c,"(881,1126)",88.76936
18,"(803,246)",21,"(839,313)",76.05919,null,null,null
1,"(13,534)",null,null,null,A,"(1,517)",20.80865
2,"(27,118)",null,null,null,C,"(6,142)",31.89044
4,"(50,1096)",null,null,null,F,"(19,1125)",42.44997
5,"(56,889)",null,null,null,E,"(19,900)",38.60052
6,"(130,112)",null,null,null,I,"(91,2)",116.70904
7,"(167,1105)",null,null,null,M,"(168,1092)",13.03840
8,"(219,575)",null,null,null,P,"(241,565)",24.16609
9,"(231,722)",null,null,null,O,"(232,721)",1.41421
10,"(345,196)",null,null,null,Q,"(359,256)",61.61169
12,"(600,231)",null,null,null,T,"(492,464)",256.81316
15,"(780,676)",null,null,null,[,"(791,716)",41.48494
19,"(824,1002)",null,null,null,\,"(821,1003)",3.16228
20,"(829,783)",null,null,null,],"(824,781)",5.38516
21,"(839,313)",null,null,null,a,"(868,311)",29.06888
22,"(848,144)",null,null,null,d,"(893,9)",142.30249
24,"(895,437)",null,null,null,_,"(836,457)",62.29767
